difficulty,source_type,metric,sample_size,mean,std,median,min,max
intermediate,Expert,code_quality_metrics.starter_code_comment_line_ratio,7,0.057185714285714284,0.09103219995458435,0.0,0.0,0.2424
intermediate,Expert,code_quality_metrics.starter_code_docstring_count,7,0.14285714285714285,0.3779644730092273,0.0,0.0,1.0
intermediate,Expert,code_quality_metrics.starter_code_function_count,7,0.7142857142857143,1.1126972805283737,0.0,0.0,3.0
intermediate,Expert,code_quality_metrics.starter_code_loc_total,7,18.142857142857142,7.221001117771492,18.0,12.0,33.0
intermediate,Expert,code_quality_metrics.starter_code_max_function_loc,7,9.428571428571429,14.093227012258321,0.0,0.0,37.0
intermediate,Expert,code_quality_metrics.starter_code_mccabe_max,3,3.6666666666666665,3.0550504633038935,3.0,1.0,7.0
intermediate,Expert,code_quality_metrics.starter_code_mi,7,95.44212857142857,8.545540546724606,100.0,77.9397,100.0
intermediate,Expert,instruction_metrics.avg_sentence_length,8,17.1354125,1.8792723549574029,16.5,15.25,20.6667
intermediate,Expert,instruction_metrics.flesch_kincaid_grade,8,10.72965,1.9900906634049187,9.7442,8.8719,13.8984
intermediate,Expert,instruction_metrics.flesch_reading_ease,8,46.12,12.250679636307064,49.32755,24.5097,61.6874
intermediate,Expert,instruction_metrics.instruction_completeness_ratio,8,0.7291875,0.12398556871668576,0.6667,0.6667,1.0
intermediate,Expert,instruction_metrics.max_sentence_length,8,24.375,4.68851179556401,25.0,18.0,32.0
intermediate,Expert,instruction_metrics.technical_term_density_instruction,8,0.0291625,0.02019263921758195,0.02615,0.0,0.0545
intermediate,Expert,instruction_metrics.var_sentence_length,8,38.3144125,34.51168427435379,30.2882,0.8889,96.8889
intermediate,Expert,structure_metrics.structure_completeness_ratio,8,0.890625,0.04419417382415922,0.875,0.875,1.0
intermediate,Expert,structure_metrics.structure_score_weighted,8,0.8930750000000001,0.043204224330498045,0.8778,0.8778,1.0
intermediate-advanced,AI,code_quality_metrics.starter_code_avg_function_loc,2,22.25,3.8890872965260113,22.25,19.5,25.0
intermediate-advanced,AI,code_quality_metrics.starter_code_comment_line_ratio,2,0.26215,0.08789337290148784,0.26215,0.2,0.3243
intermediate-advanced,AI,code_quality_metrics.starter_code_docstring_count,2,1.0,0.0,1.0,1.0,1.0
intermediate-advanced,AI,code_quality_metrics.starter_code_function_count,2,1.5,0.7071067811865476,1.5,1.0,2.0
intermediate-advanced,AI,code_quality_metrics.starter_code_loc_total,2,31.0,8.48528137423857,31.0,25.0,37.0
intermediate-advanced,AI,code_quality_metrics.starter_code_max_function_loc,2,26.0,1.4142135623730951,26.0,25.0,27.0
intermediate-advanced,AI,code_quality_metrics.starter_code_mccabe_max,2,2.0,1.4142135623730951,2.0,1.0,3.0
intermediate-advanced,AI,code_quality_metrics.starter_code_mi,2,94.38714999999999,7.937768593565829,94.38714999999999,88.7743,100.0
intermediate-advanced,AI,instruction_metrics.avg_sentence_length,2,23.91665,7.660299892628226,23.91665,18.5,29.3333
intermediate-advanced,AI,instruction_metrics.flesch_kincaid_grade,2,11.4213,1.801000971682137,11.4213,10.1478,12.6948
intermediate-advanced,AI,instruction_metrics.flesch_reading_ease,2,45.549099999999996,3.90718923012439,45.549099999999996,42.7863,48.3119
intermediate-advanced,AI,instruction_metrics.instruction_completeness_ratio,2,1.0,0.0,1.0,1.0,1.0
intermediate-advanced,AI,instruction_metrics.max_sentence_length,2,43.5,6.363961030678928,43.5,39.0,48.0
intermediate-advanced,AI,instruction_metrics.technical_term_density_instruction,2,0.0498,0.006081118318204311,0.0498,0.0455,0.0541
intermediate-advanced,AI,instruction_metrics.var_sentence_length,2,172.7361,36.042788271996926,172.7361,147.25,198.2222
intermediate-advanced,AI,structure_metrics.structure_completeness_ratio,2,0.875,0.0,0.875,0.875,0.875
intermediate-advanced,AI,structure_metrics.structure_score_weighted,2,0.8667,0.0,0.8667,0.8667,0.8667
intermediate-advanced,Expert,code_quality_metrics.starter_code_avg_function_loc,2,7.375,0.8838834764831844,7.375,6.75,8.0
intermediate-advanced,Expert,code_quality_metrics.starter_code_comment_line_ratio,2,0.04725,0.016334166645409244,0.04725,0.0357,0.0588
intermediate-advanced,Expert,code_quality_metrics.starter_code_docstring_count,2,0.0,0.0,0.0,0.0,0.0
intermediate-advanced,Expert,code_quality_metrics.starter_code_function_count,2,3.0,1.4142135623730951,3.0,2.0,4.0
intermediate-advanced,Expert,code_quality_metrics.starter_code_loc_total,2,22.5,7.7781745930520225,22.5,17.0,28.0
intermediate-advanced,Expert,code_quality_metrics.starter_code_max_function_loc,2,11.0,2.8284271247461903,11.0,9.0,13.0
intermediate-advanced,Expert,code_quality_metrics.starter_code_mccabe_max,2,3.5,0.7071067811865476,3.5,3.0,4.0
intermediate-advanced,Expert,code_quality_metrics.starter_code_mi,2,70.38114999999999,10.255098936870377,70.38114999999999,63.1297,77.6326
intermediate-advanced,Expert,instruction_metrics.avg_sentence_length,2,22.45835,11.608359894705194,22.45835,14.25,30.6667
intermediate-advanced,Expert,instruction_metrics.flesch_kincaid_grade,2,15.6903,8.435925320911752,15.6903,9.7252,21.6554
intermediate-advanced,Expert,instruction_metrics.flesch_reading_ease,2,21.82955,39.59550487271251,21.82955,-6.1687,49.8278
intermediate-advanced,Expert,instruction_metrics.instruction_completeness_ratio,2,0.8333,0.0,0.8333,0.8333,0.8333
intermediate-advanced,Expert,instruction_metrics.max_sentence_length,2,32.5,20.506096654409877,32.5,18.0,47.0
intermediate-advanced,Expert,instruction_metrics.technical_term_density_instruction,2,0.01085,0.015344217151748081,0.01085,0.0,0.0217
intermediate-advanced,Expert,instruction_metrics.var_sentence_length,2,70.87155,88.6486336544732,70.87155,8.1875,133.5556
intermediate-advanced,Expert,structure_metrics.structure_completeness_ratio,2,0.9375,0.08838834764831845,0.9375,0.875,1.0
intermediate-advanced,Expert,structure_metrics.structure_score_weighted,2,0.9389000000000001,0.08640844866099609,0.9389000000000001,0.8778,1.0
