participant_id,package_id,consent,study_stage,programming_background,python_familiarity,framework_familiarity,dl_course_taken,familiar_topics,started_at,submitted_at,attention_check_score,attention_check_passed,created_at,updated_at
S027,STUDENT-P03,是,本科高年级,学过基础编程,比较熟悉,非常不熟悉,是,CNN; Transformer,2026-03-18 05:01:37.640584+00,2026-03-18 05:07:38.912255+00,4,True,2026-03-18 05:07:38.992100+00,2026-03-18 05:07:38.996890+00
S039,STUDENT-P03,是,博士研究生,学过机器学习或深度学习基础,非常熟悉,比较熟悉,是,Transformer,2026-03-19 02:34:21.125513+00,2026-03-19 02:40:51.435190+00,4,True,2026-03-19 02:40:51.477308+00,2026-03-19 02:40:51.555178+00
S045,STUDENT-P03,是,本科高年级,学过机器学习或深度学习基础,比较熟悉,非常熟悉,是,CNN; RNN / LSTM; Transformer,2026-03-19 13:11:37.003512+00,2026-03-19 13:17:12.574518+00,4,True,2026-03-19 13:17:12.784257+00,2026-03-19 13:17:12.797647+00
S051,STUDENT-P03,是,硕士研究生,学过机器学习或深度学习基础,比较熟悉,非常熟悉,是,CNN,2026-03-19 07:38:41.682324+00,2026-03-19 07:44:12.075882+00,4,True,2026-03-19 07:44:12.185514+00,2026-03-19 07:44:12.261175+00
S004,STUDENT-P04,是,本科高年级,学过机器学习或深度学习基础,非常熟悉,不太熟悉,是,CNN,2026-03-17 02:46:04.690290+00,2026-03-17 02:51:29.173702+00,4,True,2026-03-17 02:51:29.217928+00,2026-03-17 02:51:29.246767+00
S022,STUDENT-P04,是,本科高年级,学过机器学习或深度学习基础,比较熟悉,一般,是,CNN,2026-03-18 11:21:10.835794+00,2026-03-18 11:27:07.028486+00,4,True,2026-03-18 11:27:07.236055+00,2026-03-18 11:27:07.297921+00
S028,STUDENT-P04,是,本科高年级,几乎没有编程基础,比较熟悉,一般,是,RNN / LSTM,2026-03-18 03:52:13.878318+00,2026-03-18 03:58:44.100442+00,4,True,2026-03-18 03:58:44.173316+00,2026-03-18 03:58:44.182655+00
S040,STUDENT-P04,是,本科低年级,学过基础编程,一般,一般,否,RNN / LSTM,2026-03-19 05:42:34.424073+00,2026-03-19 05:47:44.065647+00,4,True,2026-03-19 05:47:44.228295+00,2026-03-19 05:47:44.246855+00
S046,STUDENT-P04,是,本科低年级,几乎没有编程基础,一般,一般,是,RNN / LSTM,2026-03-19 03:21:35.465119+00,2026-03-19 03:28:57.498598+00,4,True,2026-03-19 03:28:57.676861+00,2026-03-19 03:28:57.732704+00
S017,STUDENT-P05,是,硕士研究生,学过机器学习或深度学习基础,一般,一般,是,CNN; Transformer,2026-03-18 08:11:40.128589+00,2026-03-18 08:17:47.168805+00,4,True,2026-03-18 08:17:47.182108+00,2026-03-18 08:17:47.194742+00
S035,STUDENT-P05,是,本科高年级,几乎没有编程基础,一般,比较熟悉,是,CNN; RNN / LSTM,2026-03-18 09:06:46.081046+00,2026-03-18 09:13:27.462085+00,4,True,2026-03-18 09:13:27.485394+00,2026-03-18 09:13:27.555165+00
S047,STUDENT-P05,是,本科低年级,几乎没有编程基础,不太熟悉,比较熟悉,是,CNN; RNN / LSTM,2026-03-19 15:25:19.117146+00,2026-03-19 15:30:51.206650+00,4,True,2026-03-19 15:30:51.263960+00,2026-03-19 15:30:51.335904+00
S053,STUDENT-P05,是,本科高年级,学过基础编程,一般,一般,否,优化与训练分析,2026-03-19 03:18:38.366621+00,2026-03-19 03:23:55.270593+00,4,True,2026-03-19 03:23:55.395245+00,2026-03-19 03:23:55.413888+00
S059,STUDENT-P05,是,其他,几乎没有编程基础,不太熟悉,非常不熟悉,是,CNN; RNN / LSTM; Transformer,2026-03-19 06:11:14.167830+00,2026-03-19 06:17:23.774565+00,2,False,2026-03-19 06:17:23.803533+00,2026-03-19 06:17:23.838267+00
S012,STUDENT-P06,是,硕士研究生,学过基础编程,非常熟悉,不太熟悉,是,优化与训练分析,2026-03-17 06:40:13.364401+00,2026-03-17 06:44:38.592545+00,4,True,2026-03-17 06:44:38.714130+00,2026-03-17 06:44:38.760994+00
S018,STUDENT-P06,是,本科低年级,几乎没有编程基础,一般,一般,否,CNN; RNN / LSTM; 优化与训练分析,2026-03-18 13:04:14.482482+00,2026-03-18 13:10:49.480509+00,4,True,2026-03-18 13:10:49.684200+00,2026-03-18 13:10:49.686423+00
S024,STUDENT-P06,是,本科低年级,几乎没有编程基础,不太熟悉,一般,否,都不太熟悉,2026-03-18 11:02:36.944757+00,2026-03-18 11:08:36.843870+00,4,True,2026-03-18 11:08:36.906066+00,2026-03-18 11:08:36.974658+00
S030,STUDENT-P06,是,硕士研究生,有较多相关课程或项目经验,非常熟悉,一般,是,RNN / LSTM; Transformer; 优化与训练分析,2026-03-18 05:30:38.313888+00,2026-03-18 05:32:49.447384+00,5,False,2026-03-18 05:32:49.652046+00,2026-03-18 05:32:49.705245+00
S060,STUDENT-P06,是,本科低年级,几乎没有编程基础,不太熟悉,不太熟悉,是,Transformer,2026-03-19 09:43:23.204119+00,2026-03-19 09:49:17.862517+00,3,False,2026-03-19 09:49:17.925165+00,2026-03-19 09:49:17.953026+00
