participant_id,package_id,blind_exercise_id,exercise_id,source_type,topic,difficulty,exercise_type,item_order,task_goal_clarity,key_support,course_relevance,learning_help,info_load,search_effort,active_engagement,mental_effort,item_mean_score,usability_mean_score,cognitive_load_mean_score,engagement_score,open_comment,open_comment_present,item_saved_at,overall_usefulness,overall_ease,continued_use_intention,overall_quality,batch_acceptance_mean,final_comment,final_comment_present,rating_time_seconds,batch_saved_at,consent,study_stage,programming_background,python_familiarity,framework_familiarity,dl_course_taken,familiar_topics,familiar_topics_count,started_at,submitted_at,response_duration_seconds,attention_check_score,attention_check_passed,participant_straightline_flag,participant_fast_flag_under_180s,auto_flesch_reading_ease,auto_flesch_kincaid_grade,auto_instruction_completeness_ratio,auto_technical_term_density_instruction,auto_avg_sentence_length,auto_structure_completeness_ratio,auto_structure_score_weighted,auto_starter_code_mccabe_max,auto_starter_code_mi,pair_id,pair_tfidf_cosine_full_text,pair_tfidf_cosine_instruction_only,pair_bertscore_f1_instruction_only,pair_rougeL_f1_instruction_only,pair_meteor_instruction_only,pair_topic_coherence_score_ai,pair_topic_coherence_score_reference
S007,STUDENT-P01,B0016,OPT-05,Expert,Optimization,intermediate,model revision,2,4,3,3,3,4,4,4,4,2.875,3.25,4,4,相关信息比较多，阅读时需要来回找重点。,True,2026-03-17 03:06:15.876607+00,3,3,4,4,3.5,,False,285.32,2026-03-17 03:08:31.786093+00,是,本科低年级,学过基础编程,比较熟悉,比较熟悉,是,CNN; 优化与训练分析,2,2026-03-17 03:03:47.026349+00,2026-03-17 03:08:32.345102+00,285.3188,4,True,False,False,48.0321,9.4167,0.6667,0,16.3333,0.875,0.8778,nan,100,PAIR-CURATED-OPT-05,,,,,,,
S007,STUDENT-P01,B0002,AI-CURATED-KER-04,AI,RNN,intermediate,model building,3,3,3,4,3,4,4,3,4,2.75,3.25,4,3,,False,2026-03-17 03:07:17.511464+00,3,3,4,4,3.5,,False,285.32,2026-03-17 03:08:31.786093+00,是,本科低年级,学过基础编程,比较熟悉,比较熟悉,是,CNN; 优化与训练分析,2,2026-03-17 03:03:47.026349+00,2026-03-17 03:08:32.345102+00,285.3188,4,True,False,False,36.5721,12.9198,1,0.0435,28.75,0.875,0.8667,4,86.8638,PAIR-CURATED-KER-04,0.4234,0.3015,0.8692,0.3956,0.4544,0.6,0.4
S007,STUDENT-P01,B0046,TRF-01,Expert,Transformer,intermediate-advanced,code completion,4,4,4,3,3,3,3,4,4,3.25,3.5,3.3333,4,题目写得比较完整，但学习帮助感一般。,True,2026-03-17 03:08:15.108279+00,3,3,4,4,3.5,,False,285.32,2026-03-17 03:08:31.786093+00,是,本科低年级,学过基础编程,比较熟悉,比较熟悉,是,CNN; 优化与训练分析,2,2026-03-17 03:03:47.026349+00,2026-03-17 03:08:32.345102+00,285.3188,4,True,False,False,49.8278,9.7252,0.8333,0,14.25,1,1,3,77.6326,PAIR-CURATED-TRF-01,,,,,,,
S008,STUDENT-P02,B0028,CNN-01,Expert,CNN,intermediate,code completion,1,3,4,4,3,3,3,3,4,3.125,3.5,3.3333,3,,False,2026-03-17 03:23:46.350267+00,4,4,4,3,3.75,,False,431.39,2026-03-17 03:28:59.383138+00,是,本科低年级,几乎没有编程基础,非常熟悉,非常不熟悉,否,都不太熟悉,1,2026-03-17 03:21:48.503070+00,2026-03-17 03:28:59.889363+00,431.3863,4,True,False,False,52.1162,8.8719,1,0.0164,15.25,0.875,0.8778,1,100,PAIR-CURATED-CNN-01,,,,,,,
S008,STUDENT-P02,B0008,AI-CURATED-OPT-05,AI,Optimization,intermediate,model revision,2,3,3,2,3,4,3,2,4,2.5,2.75,3.6667,2,,False,2026-03-17 03:25:19.547987+00,4,4,4,3,3.75,,False,431.39,2026-03-17 03:28:59.383138+00,是,本科低年级,几乎没有编程基础,非常熟悉,非常不熟悉,否,都不太熟悉,1,2026-03-17 03:21:48.503070+00,2026-03-17 03:28:59.889363+00,431.3863,4,True,False,False,32.7254,12.6696,1,0.009,18.5,0.875,0.8667,nan,100,PAIR-CURATED-OPT-05,0.4367,0.2269,0.8438,0.1775,0.2434,0.2,0.1
S008,STUDENT-P02,B0024,KER-04,Expert,RNN,intermediate,model building,3,4,4,4,4,4,3,4,3,3.5,4,3.3333,4,需要同时关注的内容有点多，做题负担偏大。,True,2026-03-17 03:26:39.303151+00,4,4,4,3,3.75,,False,431.39,2026-03-17 03:28:59.383138+00,是,本科低年级,几乎没有编程基础,非常熟悉,非常不熟悉,否,都不太熟悉,1,2026-03-17 03:21:48.503070+00,2026-03-17 03:28:59.889363+00,431.3863,4,True,False,False,37.4848,12.5855,0.6667,0.0545,18.3333,0.875,0.8778,nan,100,PAIR-CURATED-KER-04,,,,,,,
S008,STUDENT-P02,B0013,AI-CURATED-TRF-01,AI,Transformer,intermediate-advanced,code completion,4,4,3,3,3,4,4,4,5,2.75,3.25,4.3333,4,,False,2026-03-17 03:28:41.960101+00,4,4,4,3,3.75,,False,431.39,2026-03-17 03:28:59.383138+00,是,本科低年级,几乎没有编程基础,非常熟悉,非常不熟悉,否,都不太熟悉,1,2026-03-17 03:21:48.503070+00,2026-03-17 03:28:59.889363+00,431.3863,4,True,False,False,48.3119,10.1478,1,0.0541,18.5,0.875,0.8667,3,88.7743,PAIR-CURATED-TRF-01,0.2326,0.1635,0.8359,0.1143,0.1618,0.5,0.2
S009,STUDENT-P03,B0041,KER-01,Expert,CNN,beginner,model building,1,4,4,3,4,3,3,3,4,3.25,3.75,3.3333,3,希望把关键要求再拆得更清楚一些。,True,2026-03-17 09:22:14.383796+00,3,3,3,4,3.25,,False,444.2,2026-03-17 09:28:05.398820+00,是,本科低年级,几乎没有编程基础,比较熟悉,比较熟悉,是,CNN; 优化与训练分析,2,2026-03-17 09:20:41.754742+00,2026-03-17 09:28:05.952636+00,444.1979,4,True,False,False,44.83,11.975,0.6667,0,19.5,0.875,0.8778,nan,100,PAIR-CURATED-KER-01,,,,,,,
S009,STUDENT-P03,B0036,AI-CURATED-OPT-02,AI,Optimization,beginner-intermediate,training-analysis,2,4,4,3,3,4,4,4,4,3,3.5,4,4,我有点不知道从哪里开始，如果有更明确的起点会更好。,True,2026-03-17 09:23:29.115980+00,3,3,3,4,3.25,,False,444.2,2026-03-17 09:28:05.398820+00,是,本科低年级,几乎没有编程基础,比较熟悉,比较熟悉,是,CNN; 优化与训练分析,2,2026-03-17 09:20:41.754742+00,2026-03-17 09:28:05.952636+00,444.1979,4,True,False,False,38.7333,12.5355,1,0.0092,27.25,0.875,0.8667,1,79.6363,PAIR-CURATED-OPT-02,0.3187,0.1742,0.852,0.1624,0.1849,0.5,0.1
S009,STUDENT-P03,B0011,AI-CURATED-RNN-02,AI,RNN,intermediate,model building,3,3,2,2,3,4,5,2,5,2,2.5,4.6667,2,,False,2026-03-17 09:25:00.943050+00,3,3,3,4,3.25,,False,444.2,2026-03-17 09:28:05.398820+00,是,本科低年级,几乎没有编程基础,比较熟悉,比较熟悉,是,CNN; 优化与训练分析,2,2026-03-17 09:20:41.754742+00,2026-03-17 09:28:05.952636+00,444.1979,4,True,False,False,44.1412,10.9117,1,0.022,15.1667,0.875,0.8667,2,100,PAIR-CURATED-RNN-02,0.3337,0.2098,0.8215,0.1791,0.1372,0.4,0.2
S009,STUDENT-P03,B0025,MIT-01,Expert,RNN,intermediate,code completion,4,3,4,3,3,4,4,3,4,2.75,3.25,4,3,题目不算完全看不懂，但需要更多引导。,True,2026-03-17 09:26:15.533597+00,3,3,3,4,3.25,,False,444.2,2026-03-17 09:28:05.398820+00,是,本科低年级,几乎没有编程基础,比较熟悉,比较熟悉,是,CNN; 优化与训练分析,2,2026-03-17 09:20:41.754742+00,2026-03-17 09:28:05.952636+00,444.1979,4,True,False,False,57.3574,8.9027,0.6667,0.0435,15.3333,0.875,0.8778,3,90.1552,PAIR-CURATED-MIT-01,,,,,,,
S009,STUDENT-P03,B0019,AI-CURATED-UVA-02,AI,Transformer,intermediate-advanced,code completion,5,4,4,3,3,4,4,3,5,2.75,3.5,4.3333,3,,False,2026-03-17 09:27:39.753647+00,3,3,3,4,3.25,,False,444.2,2026-03-17 09:28:05.398820+00,是,本科低年级,几乎没有编程基础,比较熟悉,比较熟悉,是,CNN; 优化与训练分析,2,2026-03-17 09:20:41.754742+00,2026-03-17 09:28:05.952636+00,444.1979,4,True,False,False,42.7863,12.6948,1,0.0455,29.3333,0.875,0.8667,1,100,PAIR-CURATED-UVA-02,0.4362,0.2357,0.8355,0.2312,0.2193,0.6,0.4
S012,STUDENT-P06,B0023,MIT-02,Expert,CNN,beginner-intermediate,model building,1,4,4,4,4,4,3,4,4,3.375,4,3.6667,4,题目有帮助，但信息密度偏高。,True,2026-03-17 06:41:50.151296+00,4,3,3,4,3.5,,False,265.23,2026-03-17 06:44:38.181448+00,是,硕士研究生,学过基础编程,非常熟悉,不太熟悉,是,优化与训练分析,1,2026-03-17 06:40:13.364401+00,2026-03-17 06:44:38.592545+00,265.2281,4,True,False,False,39.1289,12.5218,0.6667,0,28.5,0.875,0.8778,nan,nan,PAIR-CURATED-MIT-02,,,,,,,
S012,STUDENT-P06,B0021,AI-CURATED-OPT-04,AI,Optimization,intermediate,model revision,2,3,3,3,3,4,3,3,3,2.875,3,3.3333,3,,False,2026-03-17 06:42:38.184817+00,4,3,3,4,3.5,,False,265.23,2026-03-17 06:44:38.181448+00,是,硕士研究生,学过基础编程,非常熟悉,不太熟悉,是,优化与训练分析,1,2026-03-17 06:40:13.364401+00,2026-03-17 06:44:38.592545+00,265.2281,4,True,False,False,35.5604,11.3426,1,0.0306,16.3333,0.875,0.8667,nan,100,PAIR-CURATED-OPT-04,0.4326,0.2334,0.852,0.1975,0.3307,0.5,0.3
S012,STUDENT-P06,B0017,AI-CURATED-RNN-01,AI,RNN,intermediate,code completion,3,4,4,4,3,3,3,4,3,3.5,3.75,3,4,,False,2026-03-17 06:43:25.694871+00,4,3,3,4,3.5,,False,265.23,2026-03-17 06:44:38.181448+00,是,硕士研究生,学过基础编程,非常熟悉,不太熟悉,是,优化与训练分析,1,2026-03-17 06:40:13.364401+00,2026-03-17 06:44:38.592545+00,265.2281,4,True,False,False,49.0598,11.0745,1,0.013,19.25,0.875,0.8667,2,97.0667,PAIR-CURATED-RNN-01,0.3674,0.304,0.8282,0.2323,0.3104,0.2,0.3
S012,STUDENT-P06,B0030,KER-02,Expert,RNN,intermediate,model building,4,3,3,3,3,4,3,3,4,2.75,3,3.6667,3,,False,2026-03-17 06:44:24.937120+00,4,3,3,4,3.5,,False,265.23,2026-03-17 06:44:38.181448+00,是,硕士研究生,学过基础编程,非常熟悉,不太熟悉,是,优化与训练分析,1,2026-03-17 06:40:13.364401+00,2026-03-17 06:44:38.592545+00,265.2281,4,True,False,False,37.1494,12.6736,0.6667,0.0541,18.5,0.875,0.8778,nan,100,PAIR-CURATED-KER-02,,,,,,,
S017,STUDENT-P05,B0014,AI-CURATED-MIT-02,AI,CNN,beginner-intermediate,model building,1,3,3,3,3,3,3,3,3,3,3,3,3,,False,2026-03-18 08:13:23.511096+00,3,3,4,4,3.5,有些题比较有帮助，但也有几题信息量偏大。,True,367.04,2026-03-18 08:17:46.968400+00,是,硕士研究生,学过机器学习或深度学习基础,一般,一般,是,CNN; Transformer,2,2026-03-18 08:11:40.128589+00,2026-03-18 08:17:47.168805+00,367.0402,4,True,False,False,56.4903,8.2121,1,0.0288,17.3333,0.875,0.8667,1,100,PAIR-CURATED-MIT-02,0.3945,0.2179,0.8423,0.1739,0.2639,0.5,0.2
S017,STUDENT-P05,B0020,OPT-04,Expert,Optimization,intermediate,model revision,2,3,3,3,3,3,3,3,3,3,3,3,3,,False,2026-03-18 08:14:44.866445+00,3,3,4,4,3.5,有些题比较有帮助，但也有几题信息量偏大。,True,367.04,2026-03-18 08:17:46.968400+00,是,硕士研究生,学过机器学习或深度学习基础,一般,一般,是,CNN; Transformer,2,2026-03-18 08:11:40.128589+00,2026-03-18 08:17:47.168805+00,367.0402,4,True,False,False,24.5097,13.8984,0.6667,0.02,16.6667,0.875,0.8778,nan,100,PAIR-CURATED-OPT-04,,,,,,,
S017,STUDENT-P05,B0038,RNN-01,Expert,RNN,intermediate,code completion,3,4,3,3,3,3,3,3,3,3.125,3.25,3,3,,False,2026-03-18 08:16:06.461332+00,3,3,4,4,3.5,有些题比较有帮助，但也有几题信息量偏大。,True,367.04,2026-03-18 08:17:46.968400+00,是,硕士研究生,学过机器学习或深度学习基础,一般,一般,是,CNN; Transformer,2,2026-03-18 08:11:40.128589+00,2026-03-18 08:17:47.168805+00,367.0402,4,True,False,False,61.6874,9.7894,0.6667,0.0323,20.6667,0.875,0.8778,7,77.9397,PAIR-CURATED-RNN-01,,,,,,,
S017,STUDENT-P05,B0043,AI-CURATED-KER-02,AI,RNN,intermediate,model building,4,4,4,4,3,3,3,4,3,3.5,3.75,3,4,,False,2026-03-18 08:17:27.931125+00,3,3,4,4,3.5,有些题比较有帮助，但也有几题信息量偏大。,True,367.04,2026-03-18 08:17:46.968400+00,是,硕士研究生,学过机器学习或深度学习基础,一般,一般,是,CNN; Transformer,2,2026-03-18 08:11:40.128589+00,2026-03-18 08:17:47.168805+00,367.0402,4,True,False,False,44.97,10.7133,1,0.0339,14.75,0.875,0.8667,nan,100,PAIR-CURATED-KER-02,0.4911,0.2712,0.9066,0.3469,0.4759,0.4,0.4
S018,STUDENT-P06,B0023,MIT-02,Expert,CNN,beginner-intermediate,model building,1,4,4,3,3,4,3,4,4,3.125,3.5,3.6667,4,,False,2026-03-18 13:06:04.220735+00,4,3,3,3,3.25,,False,395,2026-03-18 13:10:49.157383+00,是,本科低年级,几乎没有编程基础,一般,一般,否,CNN; RNN / LSTM; 优化与训练分析,3,2026-03-18 13:04:14.482482+00,2026-03-18 13:10:49.480509+00,394.998,4,True,False,False,39.1289,12.5218,0.6667,0,28.5,0.875,0.8778,nan,nan,PAIR-CURATED-MIT-02,,,,,,,
S018,STUDENT-P06,B0021,AI-CURATED-OPT-04,AI,Optimization,intermediate,model revision,2,3,3,3,3,4,4,4,4,2.75,3,4,4,,False,2026-03-18 13:07:37.605002+00,4,3,3,3,3.25,,False,395,2026-03-18 13:10:49.157383+00,是,本科低年级,几乎没有编程基础,一般,一般,否,CNN; RNN / LSTM; 优化与训练分析,3,2026-03-18 13:04:14.482482+00,2026-03-18 13:10:49.480509+00,394.998,4,True,False,False,35.5604,11.3426,1,0.0306,16.3333,0.875,0.8667,nan,100,PAIR-CURATED-OPT-04,0.4326,0.2334,0.852,0.1975,0.3307,0.5,0.3
S018,STUDENT-P06,B0017,AI-CURATED-RNN-01,AI,RNN,intermediate,code completion,3,3,4,3,3,4,3,4,4,3,3.25,3.6667,4,希望把关键要求再拆得更清楚一些。,True,2026-03-18 13:09:04.489781+00,4,3,3,3,3.25,,False,395,2026-03-18 13:10:49.157383+00,是,本科低年级,几乎没有编程基础,一般,一般,否,CNN; RNN / LSTM; 优化与训练分析,3,2026-03-18 13:04:14.482482+00,2026-03-18 13:10:49.480509+00,394.998,4,True,False,False,49.0598,11.0745,1,0.013,19.25,0.875,0.8667,2,97.0667,PAIR-CURATED-RNN-01,0.3674,0.304,0.8282,0.2323,0.3104,0.2,0.3
S018,STUDENT-P06,B0030,KER-02,Expert,RNN,intermediate,model building,4,4,4,4,5,4,3,4,4,3.5,4.25,3.6667,4,,False,2026-03-18 13:10:27.473296+00,4,3,3,3,3.25,,False,395,2026-03-18 13:10:49.157383+00,是,本科低年级,几乎没有编程基础,一般,一般,否,CNN; RNN / LSTM; 优化与训练分析,3,2026-03-18 13:04:14.482482+00,2026-03-18 13:10:49.480509+00,394.998,4,True,False,False,37.1494,12.6736,0.6667,0.0541,18.5,0.875,0.8778,nan,100,PAIR-CURATED-KER-02,,,,,,,
S020,STUDENT-P02,B0028,CNN-01,Expert,CNN,intermediate,code completion,1,3,3,3,3,3,4,3,4,2.75,3,3.6667,3,,False,2026-03-18 04:31:36.524098+00,4,4,3,3,3.5,,False,285.15,2026-03-18 04:34:31.970917+00,是,硕士研究生,学过机器学习或深度学习基础,一般,非常不熟悉,是,CNN; 优化与训练分析,2,2026-03-18 04:29:47.095041+00,2026-03-18 04:34:32.241188+00,285.1461,4,True,False,False,52.1162,8.8719,1,0.0164,15.25,0.875,0.8778,1,100,PAIR-CURATED-CNN-01,,,,,,,
S020,STUDENT-P02,B0008,AI-CURATED-OPT-05,AI,Optimization,intermediate,model revision,2,4,3,4,4,3,3,3,4,3.25,3.75,3.3333,3,,False,2026-03-18 04:32:26.733001+00,4,4,3,3,3.5,,False,285.15,2026-03-18 04:34:31.970917+00,是,硕士研究生,学过机器学习或深度学习基础,一般,非常不熟悉,是,CNN; 优化与训练分析,2,2026-03-18 04:29:47.095041+00,2026-03-18 04:34:32.241188+00,285.1461,4,True,False,False,32.7254,12.6696,1,0.009,18.5,0.875,0.8667,nan,100,PAIR-CURATED-OPT-05,0.4367,0.2269,0.8438,0.1775,0.2434,0.2,0.1
S020,STUDENT-P02,B0024,KER-04,Expert,RNN,intermediate,model building,3,2,3,3,3,3,3,2,3,2.75,2.75,3,2,,False,2026-03-18 04:33:07.293365+00,4,4,3,3,3.5,,False,285.15,2026-03-18 04:34:31.970917+00,是,硕士研究生,学过机器学习或深度学习基础,一般,非常不熟悉,是,CNN; 优化与训练分析,2,2026-03-18 04:29:47.095041+00,2026-03-18 04:34:32.241188+00,285.1461,4,True,False,False,37.4848,12.5855,0.6667,0.0545,18.3333,0.875,0.8778,nan,100,PAIR-CURATED-KER-04,,,,,,,
S020,STUDENT-P02,B0013,AI-CURATED-TRF-01,AI,Transformer,intermediate-advanced,code completion,4,4,4,4,3,4,4,4,5,3,3.75,4.3333,4,,False,2026-03-18 04:34:13.691627+00,4,4,3,3,3.5,,False,285.15,2026-03-18 04:34:31.970917+00,是,硕士研究生,学过机器学习或深度学习基础,一般,非常不熟悉,是,CNN; 优化与训练分析,2,2026-03-18 04:29:47.095041+00,2026-03-18 04:34:32.241188+00,285.1461,4,True,False,False,48.3119,10.1478,1,0.0541,18.5,0.875,0.8667,3,88.7743,PAIR-CURATED-TRF-01,0.2326,0.1635,0.8359,0.1143,0.1618,0.5,0.2
S022,STUDENT-P04,B0042,AI-CURATED-KER-01,AI,CNN,beginner,model building,1,4,4,4,3,3,2,4,3,3.625,3.75,2.6667,4,,False,2026-03-18 11:22:36.041576+00,4,4,4,3,3.75,,False,356.19,2026-03-18 11:27:06.755250+00,是,本科高年级,学过机器学习或深度学习基础,比较熟悉,一般,是,CNN,1,2026-03-18 11:21:10.835794+00,2026-03-18 11:27:07.028486+00,356.1927,4,True,False,False,35.1528,12.7285,1,0,17.2,0.875,0.8667,1,95.51,PAIR-CURATED-KER-01,0.4889,0.2629,0.8897,0.3077,0.448,0.2,0
S022,STUDENT-P04,B0022,OPT-02,Expert,Optimization,beginner-intermediate,training-analysis,2,4,4,3,4,4,3,4,4,3.25,3.75,3.6667,4,,False,2026-03-18 11:23:42.468569+00,4,4,4,3,3.75,,False,356.19,2026-03-18 11:27:06.755250+00,是,本科高年级,学过机器学习或深度学习基础,比较熟悉,一般,是,CNN,1,2026-03-18 11:21:10.835794+00,2026-03-18 11:27:07.028486+00,356.1927,4,True,False,False,59.7676,8.1111,0.8333,0,12.5,0.875,0.8778,2,76.5547,PAIR-CURATED-OPT-02,,,,,,,
S022,STUDENT-P04,B0005,AI-CURATED-MIT-01,AI,RNN,intermediate,code completion,3,3,3,3,4,3,3,3,3,3.125,3.25,3,3,,False,2026-03-18 11:24:35.887918+00,4,4,4,3,3.75,,False,356.19,2026-03-18 11:27:06.755250+00,是,本科高年级,学过机器学习或深度学习基础,比较熟悉,一般,是,CNN,1,2026-03-18 11:21:10.835794+00,2026-03-18 11:27:07.028486+00,356.1927,4,True,False,False,54.9211,9.9464,0.8333,0.0714,17.5,0.875,0.8667,2,92.1671,PAIR-CURATED-MIT-01,0.3929,0.2125,0.845,0.1695,0.1756,0.7,0.5
S022,STUDENT-P04,B0033,RNN-02,Expert,RNN,intermediate,model building,4,3,3,3,3,4,4,3,4,2.625,3,4,3,,False,2026-03-18 11:25:50.075120+00,4,4,4,3,3.75,,False,356.19,2026-03-18 11:27:06.755250+00,是,本科高年级,学过机器学习或深度学习基础,比较熟悉,一般,是,CNN,1,2026-03-18 11:21:10.835794+00,2026-03-18 11:27:07.028486+00,356.1927,4,True,False,False,50.623,9.699,0.8333,0.0125,16,1,1,nan,nan,PAIR-CURATED-RNN-02,,,,,,,
