source_type,metric,value,metric_label
Expert,instruction_metrics.flesch_reading_ease,28.5,Reading Ease
Expert,instruction_metrics.flesch_reading_ease,44.83,Reading Ease
Expert,instruction_metrics.flesch_reading_ease,37.1494,Reading Ease
Expert,instruction_metrics.flesch_reading_ease,13.3823,Reading Ease
Expert,instruction_metrics.flesch_reading_ease,37.4848,Reading Ease
Expert,instruction_metrics.flesch_reading_ease,57.3574,Reading Ease
Expert,instruction_metrics.flesch_reading_ease,39.1289,Reading Ease
Expert,instruction_metrics.flesch_reading_ease,59.7676,Reading Ease
Expert,instruction_metrics.flesch_reading_ease,60.1918,Reading Ease
Expert,instruction_metrics.flesch_reading_ease,24.5097,Reading Ease
Expert,instruction_metrics.flesch_reading_ease,48.0321,Reading Ease
Expert,instruction_metrics.flesch_reading_ease,61.6874,Reading Ease
Expert,instruction_metrics.flesch_reading_ease,50.623,Reading Ease
Expert,instruction_metrics.flesch_reading_ease,61.3473,Reading Ease
Expert,instruction_metrics.flesch_reading_ease,49.8278,Reading Ease
Expert,instruction_metrics.flesch_reading_ease,36.03,Reading Ease
Expert,instruction_metrics.flesch_reading_ease,-6.1687,Reading Ease
AI,instruction_metrics.flesch_kincaid_grade,10.0414,FK Grade
AI,instruction_metrics.flesch_kincaid_grade,9.4161,FK Grade
AI,instruction_metrics.flesch_kincaid_grade,11.5947,FK Grade
AI,instruction_metrics.flesch_kincaid_grade,14.9132,FK Grade
AI,instruction_metrics.flesch_kincaid_grade,13.3115,FK Grade
AI,instruction_metrics.flesch_kincaid_grade,12.9632,FK Grade
AI,instruction_metrics.flesch_kincaid_grade,10.8108,FK Grade
AI,instruction_metrics.flesch_kincaid_grade,12.7285,FK Grade
AI,instruction_metrics.flesch_kincaid_grade,10.7133,FK Grade
AI,instruction_metrics.flesch_kincaid_grade,16.5936,FK Grade
AI,instruction_metrics.flesch_kincaid_grade,12.9198,FK Grade
AI,instruction_metrics.flesch_kincaid_grade,9.9464,FK Grade
AI,instruction_metrics.flesch_kincaid_grade,8.2121,FK Grade
AI,instruction_metrics.flesch_kincaid_grade,12.5355,FK Grade
AI,instruction_metrics.flesch_kincaid_grade,10.1066,FK Grade
AI,instruction_metrics.flesch_kincaid_grade,11.3426,FK Grade
AI,instruction_metrics.flesch_kincaid_grade,12.6696,FK Grade
AI,instruction_metrics.flesch_kincaid_grade,11.0745,FK Grade
AI,instruction_metrics.flesch_kincaid_grade,10.9117,FK Grade
AI,instruction_metrics.flesch_kincaid_grade,11.8771,FK Grade
AI,instruction_metrics.flesch_kincaid_grade,10.1478,FK Grade
AI,instruction_metrics.flesch_kincaid_grade,11.2318,FK Grade
AI,instruction_metrics.flesch_kincaid_grade,12.6948,FK Grade
Expert,instruction_metrics.flesch_kincaid_grade,8.8719,FK Grade
Expert,instruction_metrics.flesch_kincaid_grade,15.37,FK Grade
Expert,instruction_metrics.flesch_kincaid_grade,8.3871,FK Grade
Expert,instruction_metrics.flesch_kincaid_grade,6.4651,FK Grade
Expert,instruction_metrics.flesch_kincaid_grade,8.4607,FK Grade
Expert,instruction_metrics.flesch_kincaid_grade,5.89,FK Grade
Expert,instruction_metrics.flesch_kincaid_grade,11.52,FK Grade
Expert,instruction_metrics.flesch_kincaid_grade,11.975,FK Grade
Expert,instruction_metrics.flesch_kincaid_grade,12.6736,FK Grade
Expert,instruction_metrics.flesch_kincaid_grade,16.8582,FK Grade
Expert,instruction_metrics.flesch_kincaid_grade,12.5855,FK Grade
Expert,instruction_metrics.flesch_kincaid_grade,8.9027,FK Grade
Expert,instruction_metrics.flesch_kincaid_grade,12.5218,FK Grade
Expert,instruction_metrics.flesch_kincaid_grade,8.1111,FK Grade
Expert,instruction_metrics.flesch_kincaid_grade,9.0871,FK Grade
Expert,instruction_metrics.flesch_kincaid_grade,13.8984,FK Grade
Expert,instruction_metrics.flesch_kincaid_grade,9.4167,FK Grade
Expert,instruction_metrics.flesch_kincaid_grade,9.7894,FK Grade
Expert,instruction_metrics.flesch_kincaid_grade,9.699,FK Grade
Expert,instruction_metrics.flesch_kincaid_grade,9.7022,FK Grade
Expert,instruction_metrics.flesch_kincaid_grade,9.7252,FK Grade
Expert,instruction_metrics.flesch_kincaid_grade,11.215,FK Grade
Expert,instruction_metrics.flesch_kincaid_grade,21.6554,FK Grade
AI,structure_metrics.structure_completeness_ratio,0.875,Structure Completeness
AI,structure_metrics.structure_completeness_ratio,0.875,Structure Completeness
AI,structure_metrics.structure_completeness_ratio,0.875,Structure Completeness
AI,structure_metrics.structure_completeness_ratio,0.875,Structure Completeness
AI,structure_metrics.structure_completeness_ratio,0.875,Structure Completeness
AI,structure_metrics.structure_completeness_ratio,0.875,Structure Completeness
AI,structure_metrics.structure_completeness_ratio,1.0,Structure Completeness
AI,structure_metrics.structure_completeness_ratio,0.875,Structure Completeness
AI,structure_metrics.structure_completeness_ratio,0.875,Structure Completeness
AI,structure_metrics.structure_completeness_ratio,0.875,Structure Completeness
AI,structure_metrics.structure_completeness_ratio,0.875,Structure Completeness
AI,structure_metrics.structure_completeness_ratio,0.875,Structure Completeness
AI,structure_metrics.structure_completeness_ratio,0.875,Structure Completeness
AI,structure_metrics.structure_completeness_ratio,0.875,Structure Completeness
AI,structure_metrics.structure_completeness_ratio,0.875,Structure Completeness
AI,structure_metrics.structure_completeness_ratio,0.875,Structure Completeness
AI,structure_metrics.structure_completeness_ratio,0.875,Structure Completeness
AI,structure_metrics.structure_completeness_ratio,0.875,Structure Completeness
AI,structure_metrics.structure_completeness_ratio,0.875,Structure Completeness
AI,structure_metrics.structure_completeness_ratio,0.875,Structure Completeness
AI,structure_metrics.structure_completeness_ratio,0.875,Structure Completeness
AI,structure_metrics.structure_completeness_ratio,0.875,Structure Completeness
AI,structure_metrics.structure_completeness_ratio,0.875,Structure Completeness
Expert,structure_metrics.structure_completeness_ratio,0.875,Structure Completeness
Expert,structure_metrics.structure_completeness_ratio,0.625,Structure Completeness
Expert,structure_metrics.structure_completeness_ratio,0.875,Structure Completeness
Expert,structure_metrics.structure_completeness_ratio,0.875,Structure Completeness
Expert,structure_metrics.structure_completeness_ratio,0.625,Structure Completeness
Expert,structure_metrics.structure_completeness_ratio,0.625,Structure Completeness
Expert,structure_metrics.structure_completeness_ratio,0.625,Structure Completeness
Expert,structure_metrics.structure_completeness_ratio,0.875,Structure Completeness
Expert,structure_metrics.structure_completeness_ratio,0.875,Structure Completeness
Expert,structure_metrics.structure_completeness_ratio,0.875,Structure Completeness
Expert,structure_metrics.structure_completeness_ratio,0.875,Structure Completeness
Expert,structure_metrics.structure_completeness_ratio,0.875,Structure Completeness
Expert,structure_metrics.structure_completeness_ratio,0.875,Structure Completeness
Expert,structure_metrics.structure_completeness_ratio,0.875,Structure Completeness
Expert,structure_metrics.structure_completeness_ratio,0.625,Structure Completeness
Expert,structure_metrics.structure_completeness_ratio,0.875,Structure Completeness
Expert,structure_metrics.structure_completeness_ratio,0.875,Structure Completeness
Expert,structure_metrics.structure_completeness_ratio,0.875,Structure Completeness
Expert,structure_metrics.structure_completeness_ratio,1.0,Structure Completeness
Expert,structure_metrics.structure_completeness_ratio,0.75,Structure Completeness
Expert,structure_metrics.structure_completeness_ratio,1.0,Structure Completeness
Expert,structure_metrics.structure_completeness_ratio,0.625,Structure Completeness
Expert,structure_metrics.structure_completeness_ratio,0.875,Structure Completeness
AI,structure_metrics.structure_score_weighted,0.8667,Weighted Structure Score
AI,structure_metrics.structure_score_weighted,0.8667,Weighted Structure Score
AI,structure_metrics.structure_score_weighted,0.8667,Weighted Structure Score
AI,structure_metrics.structure_score_weighted,0.8667,Weighted Structure Score
AI,structure_metrics.structure_score_weighted,0.8667,Weighted Structure Score
AI,structure_metrics.structure_score_weighted,0.8667,Weighted Structure Score
AI,structure_metrics.structure_score_weighted,1.0,Weighted Structure Score
AI,structure_metrics.structure_score_weighted,0.8667,Weighted Structure Score
AI,structure_metrics.structure_score_weighted,0.8667,Weighted Structure Score
AI,structure_metrics.structure_score_weighted,0.8667,Weighted Structure Score
AI,structure_metrics.structure_score_weighted,0.8667,Weighted Structure Score
AI,structure_metrics.structure_score_weighted,0.8667,Weighted Structure Score
AI,structure_metrics.structure_score_weighted,0.8667,Weighted Structure Score
AI,structure_metrics.structure_score_weighted,0.8667,Weighted Structure Score
AI,structure_metrics.structure_score_weighted,0.8667,Weighted Structure Score
AI,structure_metrics.structure_score_weighted,0.8667,Weighted Structure Score
AI,structure_metrics.structure_score_weighted,0.8667,Weighted Structure Score
AI,structure_metrics.structure_score_weighted,0.8667,Weighted Structure Score
AI,structure_metrics.structure_score_weighted,0.8667,Weighted Structure Score
AI,structure_metrics.structure_score_weighted,0.8667,Weighted Structure Score
AI,structure_metrics.structure_score_weighted,0.8667,Weighted Structure Score
AI,structure_metrics.structure_score_weighted,0.8667,Weighted Structure Score
AI,structure_metrics.structure_score_weighted,0.8667,Weighted Structure Score
Expert,structure_metrics.structure_score_weighted,0.8778,Weighted Structure Score
Expert,structure_metrics.structure_score_weighted,0.6333,Weighted Structure Score
Expert,structure_metrics.structure_score_weighted,0.8778,Weighted Structure Score
Expert,structure_metrics.structure_score_weighted,0.8778,Weighted Structure Score
Expert,structure_metrics.structure_score_weighted,0.6333,Weighted Structure Score
Expert,structure_metrics.structure_score_weighted,0.6333,Weighted Structure Score
Expert,structure_metrics.structure_score_weighted,0.6333,Weighted Structure Score
Expert,structure_metrics.structure_score_weighted,0.8778,Weighted Structure Score
Expert,structure_metrics.structure_score_weighted,0.8778,Weighted Structure Score
Expert,structure_metrics.structure_score_weighted,0.8778,Weighted Structure Score
Expert,structure_metrics.structure_score_weighted,0.8778,Weighted Structure Score
Expert,structure_metrics.structure_score_weighted,0.8778,Weighted Structure Score
Expert,structure_metrics.structure_score_weighted,0.8778,Weighted Structure Score
Expert,structure_metrics.structure_score_weighted,0.8778,Weighted Structure Score
Expert,structure_metrics.structure_score_weighted,0.6333,Weighted Structure Score
Expert,structure_metrics.structure_score_weighted,0.8778,Weighted Structure Score
Expert,structure_metrics.structure_score_weighted,0.8778,Weighted Structure Score
Expert,structure_metrics.structure_score_weighted,0.8778,Weighted Structure Score
Expert,structure_metrics.structure_score_weighted,1.0,Weighted Structure Score
Expert,structure_metrics.structure_score_weighted,0.7667,Weighted Structure Score
Expert,structure_metrics.structure_score_weighted,1.0,Weighted Structure Score
Expert,structure_metrics.structure_score_weighted,0.6333,Weighted Structure Score
Expert,structure_metrics.structure_score_weighted,0.8778,Weighted Structure Score
AI,code_quality_metrics.starter_code_mi,65.2344,Starter Code Maintainability
AI,code_quality_metrics.starter_code_mi,100.0,Starter Code Maintainability
AI,code_quality_metrics.starter_code_mi,100.0,Starter Code Maintainability
AI,code_quality_metrics.starter_code_mi,100.0,Starter Code Maintainability
AI,code_quality_metrics.starter_code_mi,100.0,Starter Code Maintainability
AI,code_quality_metrics.starter_code_mi,88.6579,Starter Code Maintainability
AI,code_quality_metrics.starter_code_mi,100.0,Starter Code Maintainability
AI,code_quality_metrics.starter_code_mi,95.51,Starter Code Maintainability
AI,code_quality_metrics.starter_code_mi,100.0,Starter Code Maintainability
AI,code_quality_metrics.starter_code_mi,95.6427,Starter Code Maintainability
AI,code_quality_metrics.starter_code_mi,86.8638,Starter Code Maintainability
AI,code_quality_metrics.starter_code_mi,92.1671,Starter Code Maintainability
AI,code_quality_metrics.starter_code_mi,100.0,Starter Code Maintainability
AI,code_quality_metrics.starter_code_mi,79.6363,Starter Code Maintainability
AI,code_quality_metrics.starter_code_mi,100.0,Starter Code Maintainability
AI,code_quality_metrics.starter_code_mi,100.0,Starter Code Maintainability
AI,code_quality_metrics.starter_code_mi,100.0,Starter Code Maintainability
AI,code_quality_metrics.starter_code_mi,97.0667,Starter Code Maintainability
AI,code_quality_metrics.starter_code_mi,100.0,Starter Code Maintainability
AI,code_quality_metrics.starter_code_mi,77.5799,Starter Code Maintainability
AI,code_quality_metrics.starter_code_mi,88.7743,Starter Code Maintainability
AI,code_quality_metrics.starter_code_mi,100.0,Starter Code Maintainability
AI,code_quality_metrics.starter_code_mi,100.0,Starter Code Maintainability
Expert,code_quality_metrics.starter_code_mi,100.0,Starter Code Maintainability
Expert,code_quality_metrics.starter_code_mi,100.0,Starter Code Maintainability
Expert,code_quality_metrics.starter_code_mi,,Starter Code Maintainability
Expert,code_quality_metrics.starter_code_mi,,Starter Code Maintainability
Expert,code_quality_metrics.starter_code_mi,,Starter Code Maintainability
Expert,code_quality_metrics.starter_code_mi,,Starter Code Maintainability
Expert,code_quality_metrics.starter_code_mi,,Starter Code Maintainability
Expert,code_quality_metrics.starter_code_mi,100.0,Starter Code Maintainability
Expert,code_quality_metrics.starter_code_mi,100.0,Starter Code Maintainability
Expert,code_quality_metrics.starter_code_mi,,Starter Code Maintainability
Expert,code_quality_metrics.starter_code_mi,100.0,Starter Code Maintainability
Expert,code_quality_metrics.starter_code_mi,90.1552,Starter Code Maintainability
Expert,code_quality_metrics.starter_code_mi,,Starter Code Maintainability
Expert,code_quality_metrics.starter_code_mi,76.5547,Starter Code Maintainability
Expert,code_quality_metrics.starter_code_mi,100.0,Starter Code Maintainability
Expert,code_quality_metrics.starter_code_mi,100.0,Starter Code Maintainability
Expert,code_quality_metrics.starter_code_mi,100.0,Starter Code Maintainability
Expert,code_quality_metrics.starter_code_mi,77.9397,Starter Code Maintainability
Expert,code_quality_metrics.starter_code_mi,,Starter Code Maintainability
Expert,code_quality_metrics.starter_code_mi,,Starter Code Maintainability
Expert,code_quality_metrics.starter_code_mi,77.6326,Starter Code Maintainability
Expert,code_quality_metrics.starter_code_mi,70.3267,Starter Code Maintainability
Expert,code_quality_metrics.starter_code_mi,63.1297,Starter Code Maintainability
AI,code_quality_metrics.starter_code_mccabe_max,1.0,Starter Code Complexity
AI,code_quality_metrics.starter_code_mccabe_max,1.0,Starter Code Complexity
AI,code_quality_metrics.starter_code_mccabe_max,2.0,Starter Code Complexity
AI,code_quality_metrics.starter_code_mccabe_max,,Starter Code Complexity
AI,code_quality_metrics.starter_code_mccabe_max,,Starter Code Complexity
AI,code_quality_metrics.starter_code_mccabe_max,2.0,Starter Code Complexity
AI,code_quality_metrics.starter_code_mccabe_max,,Starter Code Complexity
AI,code_quality_metrics.starter_code_mccabe_max,1.0,Starter Code Complexity
AI,code_quality_metrics.starter_code_mccabe_max,,Starter Code Complexity
AI,code_quality_metrics.starter_code_mccabe_max,1.0,Starter Code Complexity
AI,code_quality_metrics.starter_code_mccabe_max,4.0,Starter Code Complexity
AI,code_quality_metrics.starter_code_mccabe_max,2.0,Starter Code Complexity
AI,code_quality_metrics.starter_code_mccabe_max,1.0,Starter Code Complexity
AI,code_quality_metrics.starter_code_mccabe_max,1.0,Starter Code Complexity
AI,code_quality_metrics.starter_code_mccabe_max,,Starter Code Complexity
AI,code_quality_metrics.starter_code_mccabe_max,,Starter Code Complexity
AI,code_quality_metrics.starter_code_mccabe_max,,Starter Code Complexity
AI,code_quality_metrics.starter_code_mccabe_max,2.0,Starter Code Complexity
AI,code_quality_metrics.starter_code_mccabe_max,2.0,Starter Code Complexity
AI,code_quality_metrics.starter_code_mccabe_max,3.0,Starter Code Complexity
AI,code_quality_metrics.starter_code_mccabe_max,3.0,Starter Code Complexity
AI,code_quality_metrics.starter_code_mccabe_max,1.0,Starter Code Complexity
AI,code_quality_metrics.starter_code_mccabe_max,1.0,Starter Code Complexity
Expert,code_quality_metrics.starter_code_mccabe_max,1.0,Starter Code Complexity
Expert,code_quality_metrics.starter_code_mccabe_max,1.0,Starter Code Complexity
Expert,code_quality_metrics.starter_code_mccabe_max,,Starter Code Complexity
Expert,code_quality_metrics.starter_code_mccabe_max,,Starter Code Complexity
Expert,code_quality_metrics.starter_code_mccabe_max,,Starter Code Complexity
Expert,code_quality_metrics.starter_code_mccabe_max,,Starter Code Complexity
Expert,code_quality_metrics.starter_code_mccabe_max,,Starter Code Complexity
Expert,code_quality_metrics.starter_code_mccabe_max,,Starter Code Complexity
Expert,code_quality_metrics.starter_code_mccabe_max,,Starter Code Complexity
Expert,code_quality_metrics.starter_code_mccabe_max,,Starter Code Complexity
Expert,code_quality_metrics.starter_code_mccabe_max,,Starter Code Complexity
Expert,code_quality_metrics.starter_code_mccabe_max,3.0,Starter Code Complexity
Expert,code_quality_metrics.starter_code_mccabe_max,,Starter Code Complexity
Expert,code_quality_metrics.starter_code_mccabe_max,2.0,Starter Code Complexity
Expert,code_quality_metrics.starter_code_mccabe_max,,Starter Code Complexity
Expert,code_quality_metrics.starter_code_mccabe_max,,Starter Code Complexity
Expert,code_quality_metrics.starter_code_mccabe_max,,Starter Code Complexity
Expert,code_quality_metrics.starter_code_mccabe_max,7.0,Starter Code Complexity
Expert,code_quality_metrics.starter_code_mccabe_max,,Starter Code Complexity
Expert,code_quality_metrics.starter_code_mccabe_max,,Starter Code Complexity
Expert,code_quality_metrics.starter_code_mccabe_max,3.0,Starter Code Complexity
Expert,code_quality_metrics.starter_code_mccabe_max,2.0,Starter Code Complexity
Expert,code_quality_metrics.starter_code_mccabe_max,4.0,Starter Code Complexity
