participant_id,package_id,consent,study_stage,programming_background,python_familiarity,framework_familiarity,dl_course_taken,familiar_topics,started_at,submitted_at,attention_check_score,attention_check_passed,created_at,updated_at
S011,STUDENT-P05,是,博士研究生,学过基础编程,不太熟悉,比较熟悉,是,优化与训练分析,2026-03-17 13:30:49.310483+00,2026-03-17 13:35:50.139185+00,4,True,2026-03-17 13:35:50.241449+00,2026-03-17 13:35:50.257306+00
S012,STUDENT-P06,是,硕士研究生,学过基础编程,非常熟悉,不太熟悉,是,优化与训练分析,2026-03-17 06:40:13.364401+00,2026-03-17 06:44:38.592545+00,4,True,2026-03-17 06:44:38.714130+00,2026-03-17 06:44:38.760994+00
S013,STUDENT-P01,是,本科低年级,学过基础编程,比较熟悉,比较熟悉,是,CNN; 优化与训练分析,2026-03-17 08:18:04.972790+00,2026-03-17 08:21:54.231952+00,4,True,2026-03-17 08:21:54.377149+00,2026-03-17 08:21:54.421595+00
S014,STUDENT-P02,是,硕士研究生,学过机器学习或深度学习基础,比较熟悉,不太熟悉,是,CNN; RNN / LSTM; Transformer,2026-03-17 05:41:55.277553+00,2026-03-17 05:45:50.607670+00,4,True,2026-03-17 05:45:50.708179+00,2026-03-17 05:45:50.732461+00
S015,STUDENT-P03,是,本科高年级,学过基础编程,一般,比较熟悉,是,CNN; 优化与训练分析,2026-03-17 09:45:49.533681+00,2026-03-17 09:51:39.262499+00,4,True,2026-03-17 09:51:39.342446+00,2026-03-17 09:51:39.420132+00
S016,STUDENT-P04,是,本科低年级,学过基础编程,不太熟悉,非常不熟悉,是,优化与训练分析,2026-03-17 06:52:05.434183+00,2026-03-17 06:58:50.096212+00,2,False,2026-03-17 06:58:50.200753+00,2026-03-17 06:58:50.247219+00
S017,STUDENT-P05,是,硕士研究生,学过机器学习或深度学习基础,一般,一般,是,CNN; Transformer,2026-03-18 08:11:40.128589+00,2026-03-18 08:17:47.168805+00,4,True,2026-03-18 08:17:47.182108+00,2026-03-18 08:17:47.194742+00
S018,STUDENT-P06,是,本科低年级,几乎没有编程基础,一般,一般,否,CNN; RNN / LSTM; 优化与训练分析,2026-03-18 13:04:14.482482+00,2026-03-18 13:10:49.480509+00,4,True,2026-03-18 13:10:49.684200+00,2026-03-18 13:10:49.686423+00
S019,STUDENT-P01,是,硕士研究生,学过机器学习或深度学习基础,比较熟悉,比较熟悉,是,CNN; RNN / LSTM; 优化与训练分析,2026-03-18 14:15:21.070683+00,2026-03-18 14:21:55.151673+00,4,True,2026-03-18 14:21:55.343370+00,2026-03-18 14:21:55.378965+00
S020,STUDENT-P02,是,硕士研究生,学过机器学习或深度学习基础,一般,非常不熟悉,是,CNN; 优化与训练分析,2026-03-18 04:29:47.095041+00,2026-03-18 04:34:32.241188+00,4,True,2026-03-18 04:34:32.299477+00,2026-03-18 04:34:32.344936+00
S021,STUDENT-P03,是,本科高年级,几乎没有编程基础,非常熟悉,一般,是,Transformer,2026-03-18 06:53:07.749566+00,2026-03-18 06:59:20.371854+00,4,True,2026-03-18 06:59:20.588162+00,2026-03-18 06:59:20.635807+00
S022,STUDENT-P04,是,本科高年级,学过机器学习或深度学习基础,比较熟悉,一般,是,CNN,2026-03-18 11:21:10.835794+00,2026-03-18 11:27:07.028486+00,4,True,2026-03-18 11:27:07.236055+00,2026-03-18 11:27:07.297921+00
S023,STUDENT-P05,是,硕士研究生,学过基础编程,比较熟悉,一般,是,CNN; RNN / LSTM; 优化与训练分析,2026-03-18 03:53:14.639890+00,2026-03-18 03:57:57.166905+00,4,True,2026-03-18 03:57:57.242929+00,2026-03-18 03:57:57.312049+00
S024,STUDENT-P06,是,本科低年级,几乎没有编程基础,不太熟悉,一般,否,都不太熟悉,2026-03-18 11:02:36.944757+00,2026-03-18 11:08:36.843870+00,4,True,2026-03-18 11:08:36.906066+00,2026-03-18 11:08:36.974658+00
S025,STUDENT-P01,是,本科高年级,几乎没有编程基础,一般,不太熟悉,是,CNN,2026-03-18 06:12:54.355504+00,2026-03-18 06:18:35.877102+00,4,True,2026-03-18 06:18:35.892780+00,2026-03-18 06:18:35.902089+00
S026,STUDENT-P02,是,本科低年级,几乎没有编程基础,不太熟悉,比较熟悉,否,都不太熟悉,2026-03-18 08:27:14.619546+00,2026-03-18 08:33:44.270002+00,4,True,2026-03-18 08:33:44.425698+00,2026-03-18 08:33:44.479471+00
S027,STUDENT-P03,是,本科高年级,学过基础编程,比较熟悉,非常不熟悉,是,CNN; Transformer,2026-03-18 05:01:37.640584+00,2026-03-18 05:07:38.912255+00,4,True,2026-03-18 05:07:38.992100+00,2026-03-18 05:07:38.996890+00
S028,STUDENT-P04,是,本科高年级,几乎没有编程基础,比较熟悉,一般,是,RNN / LSTM,2026-03-18 03:52:13.878318+00,2026-03-18 03:58:44.100442+00,4,True,2026-03-18 03:58:44.173316+00,2026-03-18 03:58:44.182655+00
S029,STUDENT-P05,是,硕士研究生,学过机器学习或深度学习基础,比较熟悉,比较熟悉,是,CNN,2026-03-18 11:22:37.330937+00,2026-03-18 11:27:20.463718+00,4,True,2026-03-18 11:27:20.608660+00,2026-03-18 11:27:20.629250+00
S030,STUDENT-P06,是,硕士研究生,有较多相关课程或项目经验,非常熟悉,一般,是,RNN / LSTM; Transformer; 优化与训练分析,2026-03-18 05:30:38.313888+00,2026-03-18 05:32:49.447384+00,5,False,2026-03-18 05:32:49.652046+00,2026-03-18 05:32:49.705245+00
S031,STUDENT-P01,是,本科高年级,学过基础编程,一般,比较熟悉,是,CNN; RNN / LSTM,2026-03-18 10:36:45.246934+00,2026-03-18 10:43:07.217911+00,4,True,2026-03-18 10:43:07.251771+00,2026-03-18 10:43:07.293492+00
S032,STUDENT-P02,是,本科低年级,几乎没有编程基础,一般,比较熟悉,是,Transformer; 优化与训练分析,2026-03-18 03:38:52.836608+00,2026-03-18 03:44:45.161508+00,4,True,2026-03-18 03:44:45.229900+00,2026-03-18 03:44:45.248422+00
S033,STUDENT-P03,是,本科低年级,学过基础编程,非常不熟悉,不太熟悉,是,CNN,2026-03-18 12:00:46.300955+00,2026-03-18 12:06:41.579238+00,4,True,2026-03-18 12:06:41.728518+00,2026-03-18 12:06:41.756254+00
S034,STUDENT-P04,是,本科低年级,几乎没有编程基础,一般,不太熟悉,否,CNN,2026-03-18 12:16:23.714596+00,2026-03-18 12:23:16.646767+00,4,True,2026-03-18 12:23:16.804101+00,2026-03-18 12:23:16.856684+00
S035,STUDENT-P05,是,本科高年级,几乎没有编程基础,一般,比较熟悉,是,CNN; RNN / LSTM,2026-03-18 09:06:46.081046+00,2026-03-18 09:13:27.462085+00,4,True,2026-03-18 09:13:27.485394+00,2026-03-18 09:13:27.555165+00
S036,STUDENT-P06,是,本科低年级,几乎没有编程基础,一般,比较熟悉,否,都不太熟悉,2026-03-19 05:35:19.821876+00,2026-03-19 05:40:38.016855+00,4,True,2026-03-19 05:40:38.060610+00,2026-03-19 05:40:38.090677+00
S037,STUDENT-P01,是,本科低年级,学过基础编程,一般,一般,否,CNN; 优化与训练分析,2026-03-19 10:36:27.446301+00,2026-03-19 10:42:22.240909+00,4,True,2026-03-19 10:42:22.335645+00,2026-03-19 10:42:22.393214+00
S038,STUDENT-P02,是,本科高年级,有较多相关课程或项目经验,一般,非常熟悉,是,CNN; RNN / LSTM,2026-03-19 09:14:50.819647+00,2026-03-19 09:18:34.919423+00,4,True,2026-03-19 09:18:35.092686+00,2026-03-19 09:18:35.124687+00
S039,STUDENT-P03,是,博士研究生,学过机器学习或深度学习基础,非常熟悉,比较熟悉,是,Transformer,2026-03-19 02:34:21.125513+00,2026-03-19 02:40:51.435190+00,4,True,2026-03-19 02:40:51.477308+00,2026-03-19 02:40:51.555178+00
S040,STUDENT-P04,是,本科低年级,学过基础编程,一般,一般,否,RNN / LSTM,2026-03-19 05:42:34.424073+00,2026-03-19 05:47:44.065647+00,4,True,2026-03-19 05:47:44.228295+00,2026-03-19 05:47:44.246855+00
S041,STUDENT-P05,是,本科高年级,学过基础编程,一般,不太熟悉,否,都不太熟悉,2026-03-19 06:14:20.291909+00,2026-03-19 06:19:35.750833+00,4,True,2026-03-19 06:19:35.967207+00,2026-03-19 06:19:36.020308+00
S042,STUDENT-P06,是,本科低年级,学过基础编程,不太熟悉,不太熟悉,否,都不太熟悉,2026-03-19 07:44:19.535968+00,2026-03-19 07:49:59.004388+00,4,True,2026-03-19 07:49:59.030119+00,2026-03-19 07:49:59.054182+00
S043,STUDENT-P01,是,本科低年级,几乎没有编程基础,一般,一般,否,都不太熟悉,2026-03-19 15:20:05.137562+00,2026-03-19 15:25:50.122111+00,4,True,2026-03-19 15:25:50.201067+00,2026-03-19 15:25:50.214731+00
S044,STUDENT-P02,是,本科高年级,学过基础编程,比较熟悉,比较熟悉,是,Transformer; 优化与训练分析,2026-03-19 04:11:48.731958+00,2026-03-19 04:16:56.710826+00,4,True,2026-03-19 04:16:56.864089+00,2026-03-19 04:16:56.883742+00
S045,STUDENT-P03,是,本科高年级,学过机器学习或深度学习基础,比较熟悉,非常熟悉,是,CNN; RNN / LSTM; Transformer,2026-03-19 13:11:37.003512+00,2026-03-19 13:17:12.574518+00,4,True,2026-03-19 13:17:12.784257+00,2026-03-19 13:17:12.797647+00
S046,STUDENT-P04,是,本科低年级,几乎没有编程基础,一般,一般,是,RNN / LSTM,2026-03-19 03:21:35.465119+00,2026-03-19 03:28:57.498598+00,4,True,2026-03-19 03:28:57.676861+00,2026-03-19 03:28:57.732704+00
S047,STUDENT-P05,是,本科低年级,几乎没有编程基础,不太熟悉,比较熟悉,是,CNN; RNN / LSTM,2026-03-19 15:25:19.117146+00,2026-03-19 15:30:51.206650+00,4,True,2026-03-19 15:30:51.263960+00,2026-03-19 15:30:51.335904+00
S048,STUDENT-P06,是,硕士研究生,学过基础编程,一般,非常熟悉,否,Transformer; 优化与训练分析,2026-03-19 11:38:48.511852+00,2026-03-19 11:43:46.384932+00,4,True,2026-03-19 11:43:46.402827+00,2026-03-19 11:43:46.431056+00
S049,STUDENT-P01,是,本科低年级,有较多相关课程或项目经验,一般,不太熟悉,否,优化与训练分析,2026-03-19 14:38:29.753693+00,2026-03-19 14:44:05.351253+00,4,True,2026-03-19 14:44:05.432557+00,2026-03-19 14:44:05.493501+00
S050,STUDENT-P02,是,硕士研究生,有较多相关课程或项目经验,比较熟悉,比较熟悉,是,CNN; RNN / LSTM,2026-03-19 03:00:33.757449+00,2026-03-19 03:05:03.614070+00,4,True,2026-03-19 03:05:03.655534+00,2026-03-19 03:05:03.714204+00
S051,STUDENT-P03,是,硕士研究生,学过机器学习或深度学习基础,比较熟悉,非常熟悉,是,CNN,2026-03-19 07:38:41.682324+00,2026-03-19 07:44:12.075882+00,4,True,2026-03-19 07:44:12.185514+00,2026-03-19 07:44:12.261175+00
S052,STUDENT-P04,是,本科高年级,学过机器学习或深度学习基础,非常熟悉,一般,是,CNN; Transformer,2026-03-19 05:48:52.201908+00,2026-03-19 05:53:27.253355+00,4,True,2026-03-19 05:53:27.439326+00,2026-03-19 05:53:27.440493+00
S053,STUDENT-P05,是,本科高年级,学过基础编程,一般,一般,否,优化与训练分析,2026-03-19 03:18:38.366621+00,2026-03-19 03:23:55.270593+00,4,True,2026-03-19 03:23:55.395245+00,2026-03-19 03:23:55.413888+00
S054,STUDENT-P06,是,本科低年级,几乎没有编程基础,一般,非常熟悉,是,Transformer; 优化与训练分析,2026-03-19 13:20:30.995472+00,2026-03-19 13:26:16.056188+00,4,True,2026-03-19 13:26:16.075204+00,2026-03-19 13:26:16.126985+00
S055,STUDENT-P01,是,本科高年级,几乎没有编程基础,不太熟悉,非常熟悉,否,CNN; RNN / LSTM,2026-03-19 06:16:34.861284+00,2026-03-19 06:23:15.247202+00,4,True,2026-03-19 06:23:15.312698+00,2026-03-19 06:23:15.330140+00
S056,STUDENT-P02,是,本科低年级,几乎没有编程基础,一般,比较熟悉,否,CNN; RNN / LSTM; Transformer,2026-03-19 03:53:41.236723+00,2026-03-19 03:58:53.733322+00,4,True,2026-03-19 03:58:53.838949+00,2026-03-19 03:58:53.847745+00
S057,STUDENT-P03,是,本科高年级,几乎没有编程基础,一般,一般,是,CNN; 优化与训练分析,2026-03-19 13:35:18.295212+00,2026-03-19 13:41:43.123015+00,4,True,2026-03-19 13:41:43.199846+00,2026-03-19 13:41:43.218794+00
S058,STUDENT-P04,是,本科高年级,学过机器学习或深度学习基础,一般,不太熟悉,是,CNN; RNN / LSTM,2026-03-19 02:11:42.982135+00,2026-03-19 02:18:39.929129+00,4,True,2026-03-19 02:18:40.034723+00,2026-03-19 02:18:40.100635+00
S059,STUDENT-P05,是,其他,几乎没有编程基础,不太熟悉,非常不熟悉,是,CNN; RNN / LSTM; Transformer,2026-03-19 06:11:14.167830+00,2026-03-19 06:17:23.774565+00,2,False,2026-03-19 06:17:23.803533+00,2026-03-19 06:17:23.838267+00
S060,STUDENT-P06,是,本科低年级,几乎没有编程基础,不太熟悉,不太熟悉,是,Transformer,2026-03-19 09:43:23.204119+00,2026-03-19 09:49:17.862517+00,3,False,2026-03-19 09:49:17.925165+00,2026-03-19 09:49:17.953026+00
