participant_id,package_id,blind_exercise_id,item_order,task_goal_clarity,key_support,course_relevance,learning_help,info_load,search_effort,active_engagement,mental_effort,open_comment,saved_at
S005,STUDENT-P05,B0014,1,4,3,3,4,3,3,3,3,,2026-03-17 02:19:25.793802+00
S005,STUDENT-P05,B0020,2,4,3,4,3,3,3,4,3,,2026-03-17 02:20:00.419048+00
S005,STUDENT-P05,B0038,3,4,3,4,3,3,3,3,3,,2026-03-17 02:20:35.442586+00
S005,STUDENT-P05,B0043,4,3,3,3,3,3,3,3,4,题目写得比较完整，但学习帮助感一般。,2026-03-17 02:21:20.310863+00
S006,STUDENT-P06,B0023,1,4,4,4,3,3,3,4,4,,2026-03-17 07:20:08.644742+00
S006,STUDENT-P06,B0021,2,4,3,3,3,3,3,3,3,,2026-03-17 07:21:04.456368+00
S006,STUDENT-P06,B0017,3,4,4,3,3,2,3,3,3,,2026-03-17 07:22:00.857984+00
S006,STUDENT-P06,B0030,4,3,3,3,3,3,3,3,3,,2026-03-17 07:22:56.441600+00
S007,STUDENT-P01,B0044,1,3,3,3,3,3,3,3,4,,2026-03-17 03:05:11.366619+00
S007,STUDENT-P01,B0016,2,4,3,3,3,4,4,4,4,相关信息比较多，阅读时需要来回找重点。,2026-03-17 03:06:15.876607+00
S007,STUDENT-P01,B0002,3,3,3,4,3,4,4,3,4,,2026-03-17 03:07:17.511464+00
S007,STUDENT-P01,B0046,4,4,4,3,3,3,3,4,4,题目写得比较完整，但学习帮助感一般。,2026-03-17 03:08:15.108279+00
S008,STUDENT-P02,B0028,1,3,4,4,3,3,3,3,4,,2026-03-17 03:23:46.350267+00
S008,STUDENT-P02,B0008,2,3,3,2,3,4,3,2,4,,2026-03-17 03:25:19.547987+00
S008,STUDENT-P02,B0024,3,4,4,4,4,4,3,4,3,需要同时关注的内容有点多，做题负担偏大。,2026-03-17 03:26:39.303151+00
S008,STUDENT-P02,B0013,4,4,3,3,3,4,4,4,5,,2026-03-17 03:28:41.960101+00
S009,STUDENT-P03,B0041,1,4,4,3,4,3,3,3,4,希望把关键要求再拆得更清楚一些。,2026-03-17 09:22:14.383796+00
S009,STUDENT-P03,B0036,2,4,4,3,3,4,4,4,4,我有点不知道从哪里开始，如果有更明确的起点会更好。,2026-03-17 09:23:29.115980+00
S009,STUDENT-P03,B0011,3,3,2,2,3,4,5,2,5,,2026-03-17 09:25:00.943050+00
S009,STUDENT-P03,B0025,4,3,4,3,3,4,4,3,4,题目不算完全看不懂，但需要更多引导。,2026-03-17 09:26:15.533597+00
S009,STUDENT-P03,B0019,5,4,4,3,3,4,4,3,5,,2026-03-17 09:27:39.753647+00
S010,STUDENT-P04,B0042,1,3,3,4,3,4,4,3,4,,2026-03-17 15:21:53.497533+00
S010,STUDENT-P04,B0022,2,4,4,4,4,3,3,4,4,,2026-03-17 15:22:47.794750+00
S010,STUDENT-P04,B0005,3,4,2,3,3,3,3,3,3,,2026-03-17 15:23:31.420297+00
S010,STUDENT-P04,B0033,4,3,3,3,3,4,4,3,4,,2026-03-17 15:24:31.505459+00
S010,STUDENT-P04,B0031,5,4,4,4,2,4,4,4,4,,2026-03-17 15:25:31.917637+00
S011,STUDENT-P05,B0014,1,4,3,4,2,4,4,3,4,,2026-03-17 13:32:27.179284+00
S011,STUDENT-P05,B0020,2,4,3,3,3,3,3,3,3,,2026-03-17 13:33:17.706060+00
S011,STUDENT-P05,B0038,3,4,4,4,5,4,3,5,4,题目有帮助，但信息密度偏高。,2026-03-17 13:34:23.875338+00
S011,STUDENT-P05,B0043,4,3,3,3,3,4,4,3,4,,2026-03-17 13:35:34.438264+00
S012,STUDENT-P06,B0023,1,4,4,4,4,4,3,4,4,题目有帮助，但信息密度偏高。,2026-03-17 06:41:50.151296+00
S012,STUDENT-P06,B0021,2,3,3,3,3,4,3,3,3,,2026-03-17 06:42:38.184817+00
S012,STUDENT-P06,B0017,3,4,4,4,3,3,3,4,3,,2026-03-17 06:43:25.694871+00
S012,STUDENT-P06,B0030,4,3,3,3,3,4,3,3,4,,2026-03-17 06:44:24.937120+00
S013,STUDENT-P01,B0044,1,4,4,4,4,4,3,5,4,,2026-03-17 08:19:31.945636+00
S013,STUDENT-P01,B0016,2,4,4,4,5,3,3,4,3,,2026-03-17 08:20:05.289356+00
S013,STUDENT-P01,B0002,3,3,3,3,3,3,4,3,4,,2026-03-17 08:20:52.449448+00
S013,STUDENT-P01,B0046,4,4,4,5,4,4,3,4,4,,2026-03-17 08:21:34.059534+00
S014,STUDENT-P02,B0028,1,3,3,3,3,4,3,3,4,,2026-03-17 05:43:14.142235+00
S014,STUDENT-P02,B0008,2,3,4,4,3,4,4,4,4,,2026-03-17 05:44:07.439069+00
S014,STUDENT-P02,B0024,3,3,3,4,3,3,2,3,3,,2026-03-17 05:44:40.125850+00
S014,STUDENT-P02,B0013,4,3,3,3,3,3,3,3,4,,2026-03-17 05:45:27.166242+00
S015,STUDENT-P03,B0041,1,3,3,4,3,3,3,3,4,,2026-03-17 09:47:09.167723+00
S015,STUDENT-P03,B0036,2,3,3,3,3,4,4,3,4,,2026-03-17 09:48:12.485909+00
S015,STUDENT-P03,B0011,3,4,4,5,3,4,3,4,4,,2026-03-17 09:49:09.309731+00
S015,STUDENT-P03,B0025,4,3,3,3,3,4,4,3,4,,2026-03-17 09:50:13.108531+00
S015,STUDENT-P03,B0019,5,3,4,3,3,4,4,3,4,,2026-03-17 09:51:16.791563+00
S016,STUDENT-P04,B0042,1,3,3,3,3,3,3,3,4,,2026-03-17 06:53:35.789121+00
S016,STUDENT-P04,B0022,2,3,3,3,3,4,4,3,4,,2026-03-17 06:54:51.583182+00
S016,STUDENT-P04,B0005,3,3,3,4,3,5,4,3,4,,2026-03-17 06:56:07.034521+00
S016,STUDENT-P04,B0033,4,3,3,4,2,4,4,3,4,,2026-03-17 06:57:22.861249+00
S016,STUDENT-P04,B0031,5,4,4,4,3,4,4,3,4,,2026-03-17 06:58:38.474035+00
S017,STUDENT-P05,B0014,1,3,3,3,3,3,3,3,3,,2026-03-18 08:13:23.511096+00
S017,STUDENT-P05,B0020,2,3,3,3,3,3,3,3,3,,2026-03-18 08:14:44.866445+00
S017,STUDENT-P05,B0038,3,4,3,3,3,3,3,3,3,,2026-03-18 08:16:06.461332+00
S017,STUDENT-P05,B0043,4,4,4,4,3,3,3,4,3,,2026-03-18 08:17:27.931125+00
S018,STUDENT-P06,B0023,1,4,4,3,3,4,3,4,4,,2026-03-18 13:06:04.220735+00
S018,STUDENT-P06,B0021,2,3,3,3,3,4,4,4,4,,2026-03-18 13:07:37.605002+00
S018,STUDENT-P06,B0017,3,3,4,3,3,4,3,4,4,希望把关键要求再拆得更清楚一些。,2026-03-18 13:09:04.489781+00
S018,STUDENT-P06,B0030,4,4,4,4,5,4,3,4,4,,2026-03-18 13:10:27.473296+00
S019,STUDENT-P01,B0044,1,3,4,4,4,3,3,3,4,,2026-03-18 14:17:38.651206+00
S019,STUDENT-P01,B0016,2,4,3,4,3,4,4,3,4,,2026-03-18 14:19:11.135514+00
S019,STUDENT-P01,B0002,3,4,4,4,4,3,3,4,3,,2026-03-18 14:20:17.110418+00
S019,STUDENT-P01,B0046,4,3,4,3,3,3,3,4,4,结构上比较流畅，但有些地方还是需要自己补很多信息。,2026-03-18 14:21:43.406881+00
S020,STUDENT-P02,B0028,1,3,3,3,3,3,4,3,4,,2026-03-18 04:31:36.524098+00
S020,STUDENT-P02,B0008,2,4,3,4,4,3,3,3,4,,2026-03-18 04:32:26.733001+00
S020,STUDENT-P02,B0024,3,2,3,3,3,3,3,2,3,,2026-03-18 04:33:07.293365+00
S020,STUDENT-P02,B0013,4,4,4,4,3,4,4,4,5,,2026-03-18 04:34:13.691627+00
S021,STUDENT-P03,B0041,1,4,4,3,3,3,3,3,3,,2026-03-18 06:54:41.997468+00
S021,STUDENT-P03,B0036,2,4,4,4,4,4,3,4,4,,2026-03-18 06:55:39.784784+00
S021,STUDENT-P03,B0011,3,4,3,3,4,4,4,3,4,希望把关键要求再拆得更清楚一些。,2026-03-18 06:56:46.755752+00
S021,STUDENT-P03,B0025,4,4,3,3,3,5,5,3,5,,2026-03-18 06:58:09.262588+00
S021,STUDENT-P03,B0019,5,3,3,4,3,4,3,3,4,,2026-03-18 06:59:06.635040+00
S022,STUDENT-P04,B0042,1,4,4,4,3,3,2,4,3,,2026-03-18 11:22:36.041576+00
S022,STUDENT-P04,B0022,2,4,4,3,4,4,3,4,4,,2026-03-18 11:23:42.468569+00
S022,STUDENT-P04,B0005,3,3,3,3,4,3,3,3,3,,2026-03-18 11:24:35.887918+00
S022,STUDENT-P04,B0033,4,3,3,3,3,4,4,3,4,,2026-03-18 11:25:50.075120+00
S022,STUDENT-P04,B0031,5,3,3,3,3,3,3,3,3,,2026-03-18 11:26:43.832457+00
S023,STUDENT-P05,B0014,1,4,4,4,3,4,3,4,3,,2026-03-18 03:54:33.924327+00
S023,STUDENT-P05,B0020,2,3,3,3,4,3,3,3,4,,2026-03-18 03:55:34.768454+00
S023,STUDENT-P05,B0038,3,4,3,3,3,4,3,4,4,,2026-03-18 03:56:35.644688+00
S023,STUDENT-P05,B0043,4,3,4,3,3,4,3,4,4,,2026-03-18 03:57:36.789606+00
S024,STUDENT-P06,B0023,1,3,4,3,4,4,3,4,4,,2026-03-18 11:04:12.873787+00
S024,STUDENT-P06,B0021,2,4,4,4,3,3,4,3,4,,2026-03-18 11:05:30.818088+00
S024,STUDENT-P06,B0017,3,3,3,3,3,4,4,3,4,,2026-03-18 11:06:48.337712+00
S024,STUDENT-P06,B0030,4,4,4,4,2,4,4,4,4,题目不算完全看不懂，但需要更多引导。,2026-03-18 11:08:09.091285+00
S025,STUDENT-P01,B0044,1,3,3,3,3,4,3,3,4,,2026-03-18 06:14:29.547054+00
S025,STUDENT-P01,B0016,2,3,4,3,3,4,3,3,4,题目不算完全看不懂，但需要更多引导。,2026-03-18 06:15:42.271471+00
S025,STUDENT-P01,B0002,3,4,4,4,3,4,3,3,4,希望把关键要求再拆得更清楚一些。,2026-03-18 06:16:54.374797+00
S025,STUDENT-P01,B0046,4,3,3,4,3,4,4,3,4,我有点不知道从哪里开始，如果有更明确的起点会更好。,2026-03-18 06:18:15.638048+00
S026,STUDENT-P02,B0028,1,3,3,2,3,3,4,3,4,,2026-03-18 08:29:07.978872+00
S026,STUDENT-P02,B0008,2,3,3,3,3,4,4,3,4,,2026-03-18 08:30:35.570086+00
S026,STUDENT-P02,B0024,3,3,4,3,3,3,3,4,4,,2026-03-18 08:31:54.187052+00
S026,STUDENT-P02,B0013,4,3,3,3,3,3,4,3,4,,2026-03-18 08:33:21.957866+00
S027,STUDENT-P03,B0041,1,4,4,4,4,3,3,5,3,,2026-03-18 05:03:02.478844+00
S027,STUDENT-P03,B0036,2,4,4,4,3,3,3,4,4,,2026-03-18 05:04:08.606674+00
S027,STUDENT-P03,B0011,3,4,4,4,3,4,4,4,4,相关信息比较多，阅读时需要来回找重点。,2026-03-18 05:05:26.063800+00
S027,STUDENT-P03,B0025,4,4,3,4,2,4,4,4,3,相关信息比较多，阅读时需要来回找重点。,2026-03-18 05:06:30.556315+00
S027,STUDENT-P03,B0019,5,4,4,4,3,3,3,4,3,,2026-03-18 05:07:23.669717+00
S028,STUDENT-P04,B0042,1,4,4,4,5,4,3,5,4,信息有点多，最好再给一步步提示。,2026-03-18 03:53:56.713649+00
S028,STUDENT-P04,B0022,2,3,3,3,3,4,3,3,4,题目不算完全看不懂，但需要更多引导。,2026-03-18 03:55:05.736893+00
S028,STUDENT-P04,B0005,3,4,3,3,3,3,3,3,3,,2026-03-18 03:55:58.559045+00
S028,STUDENT-P04,B0033,4,3,3,3,3,4,3,3,4,,2026-03-18 03:57:04.223629+00
S028,STUDENT-P04,B0031,5,3,3,3,3,4,4,3,4,,2026-03-18 03:58:17.678916+00
S029,STUDENT-P05,B0014,1,3,3,3,3,3,3,4,3,,2026-03-18 11:23:51.899382+00
S029,STUDENT-P05,B0020,2,3,3,3,3,4,4,3,4,相关信息比较多，阅读时需要来回找重点。,2026-03-18 11:25:00.683759+00
S029,STUDENT-P05,B0038,3,3,3,3,3,4,4,3,4,,2026-03-18 11:26:07.298227+00
S029,STUDENT-P05,B0043,4,4,4,3,3,3,3,4,3,,2026-03-18 11:26:54.753322+00
S030,STUDENT-P06,B0023,1,3,3,3,3,3,3,3,4,,2026-03-18 05:31:53.621325+00
S030,STUDENT-P06,B0021,2,3,3,3,4,3,3,3,3,,2026-03-18 05:32:07.880722+00
S030,STUDENT-P06,B0017,3,4,3,3,3,3,3,3,3,,2026-03-18 05:32:22.379535+00
S030,STUDENT-P06,B0030,4,3,3,3,3,3,2,3,3,,2026-03-18 05:32:34.623866+00
S031,STUDENT-P01,B0044,1,3,3,3,3,4,3,3,4,,2026-03-18 10:38:32.875615+00
S031,STUDENT-P01,B0016,2,3,4,4,4,3,3,4,4,,2026-03-18 10:39:58.486187+00
S031,STUDENT-P01,B0002,3,4,4,4,4,3,3,4,3,,2026-03-18 10:41:07.359794+00
S031,STUDENT-P01,B0046,4,4,4,4,4,4,4,4,4,,2026-03-18 10:42:43.372995+00
S032,STUDENT-P02,B0028,1,3,4,3,4,3,3,4,4,,2026-03-18 03:40:51.630467+00
S032,STUDENT-P02,B0008,2,3,3,3,3,4,3,3,3,,2026-03-18 03:41:53.646246+00
S032,STUDENT-P02,B0024,3,4,4,4,4,3,3,4,3,,2026-03-18 03:42:55.427769+00
S032,STUDENT-P02,B0013,4,4,3,4,4,4,4,4,4,,2026-03-18 03:44:21.677819+00
S033,STUDENT-P03,B0041,1,4,4,5,5,3,3,4,4,整体还可以，说明比较完整。,2026-03-18 12:02:28.043851+00
S033,STUDENT-P03,B0036,2,4,4,3,3,4,3,4,4,,2026-03-18 12:03:33.087370+00
S033,STUDENT-P03,B0011,3,3,3,3,3,3,3,3,4,,2026-03-18 12:04:38.087696+00
S033,STUDENT-P03,B0025,4,4,4,4,4,3,3,4,3,,2026-03-18 12:05:30.989332+00
S033,STUDENT-P03,B0019,5,3,3,3,3,3,3,3,3,,2026-03-18 12:06:23.542312+00
S034,STUDENT-P04,B0042,1,3,3,3,3,3,3,3,4,,2026-03-18 12:17:49.867793+00
S034,STUDENT-P04,B0022,2,3,2,2,3,4,4,3,3,,2026-03-18 12:18:52.316203+00
S034,STUDENT-P04,B0005,3,3,3,3,2,5,5,3,5,,2026-03-18 12:20:29.046247+00
S034,STUDENT-P04,B0033,4,3,3,3,3,4,4,3,4,,2026-03-18 12:21:44.105874+00
S034,STUDENT-P04,B0031,5,3,4,4,3,5,4,3,4,,2026-03-18 12:22:59.469561+00
S035,STUDENT-P05,B0014,1,3,3,3,4,3,3,3,4,,2026-03-18 09:08:56.240322+00
S035,STUDENT-P05,B0020,2,3,4,4,3,3,3,4,3,,2026-03-18 09:10:03.514839+00
S035,STUDENT-P05,B0038,3,3,4,3,3,3,3,4,4,,2026-03-18 09:11:26.780530+00
S035,STUDENT-P05,B0043,4,4,4,4,3,3,4,4,4,,2026-03-18 09:13:00.528582+00
S036,STUDENT-P06,B0023,1,3,4,3,4,3,3,4,3,相关性不错，不过难度波动有点明显。,2026-03-19 05:36:43.344945+00
S036,STUDENT-P06,B0021,2,4,4,4,4,4,4,5,4,,2026-03-19 05:37:58.429541+00
S036,STUDENT-P06,B0017,3,4,3,3,3,4,4,3,4,信息有点多，最好再给一步步提示。,2026-03-19 05:39:16.254337+00
S036,STUDENT-P06,B0030,4,4,4,3,4,3,3,4,4,,2026-03-19 05:40:22.959522+00
S037,STUDENT-P01,B0044,1,4,4,4,3,3,3,4,3,,2026-03-19 10:37:51.145392+00
S037,STUDENT-P01,B0016,2,3,3,3,3,3,3,3,4,,2026-03-19 10:39:08.382420+00
S037,STUDENT-P01,B0002,3,3,3,3,3,4,4,3,4,,2026-03-19 10:40:34.714928+00
S037,STUDENT-P01,B0046,4,4,4,4,3,4,4,4,4,,2026-03-19 10:42:01.400479+00
S038,STUDENT-P02,B0028,1,3,3,4,3,3,3,4,3,,2026-03-19 09:16:01.596478+00
S038,STUDENT-P02,B0008,2,4,3,3,3,3,4,3,3,,2026-03-19 09:16:51.726375+00
S038,STUDENT-P02,B0024,3,4,3,4,3,3,3,4,3,,2026-03-19 09:17:34.993299+00
S038,STUDENT-P02,B0013,4,4,4,4,4,3,3,4,3,,2026-03-19 09:18:18.637602+00
S039,STUDENT-P03,B0041,1,3,3,3,4,3,3,4,4,,2026-03-19 02:35:54.497997+00
S039,STUDENT-P03,B0036,2,4,4,4,4,4,3,4,4,,2026-03-19 02:37:09.825125+00
S039,STUDENT-P03,B0011,3,4,3,3,3,3,3,3,3,,2026-03-19 02:38:10.408754+00
S039,STUDENT-P03,B0025,4,3,3,4,4,4,3,3,4,,2026-03-19 02:39:25.525597+00
S039,STUDENT-P03,B0019,5,4,4,4,4,3,3,4,3,,2026-03-19 02:40:25.613117+00
S040,STUDENT-P04,B0042,1,3,3,3,3,3,3,3,4,题目写得比较完整，但学习帮助感一般。,2026-03-19 05:44:18.452951+00
S040,STUDENT-P04,B0022,2,4,4,4,3,4,3,3,4,,2026-03-19 05:45:04.353048+00
S040,STUDENT-P04,B0005,3,4,4,4,4,2,3,4,4,,2026-03-19 05:45:49.790053+00
S040,STUDENT-P04,B0033,4,3,3,3,3,4,3,3,4,,2026-03-19 05:46:36.001663+00
S040,STUDENT-P04,B0031,5,3,3,3,3,4,3,4,4,,2026-03-19 05:47:21.174732+00
S041,STUDENT-P05,B0014,1,4,3,3,4,3,3,4,4,,2026-03-19 06:15:48.276846+00
S041,STUDENT-P05,B0020,2,3,3,3,3,4,4,3,4,,2026-03-19 06:16:58.550958+00
S041,STUDENT-P05,B0038,3,4,3,4,2,3,4,4,4,,2026-03-19 06:18:08.275554+00
S041,STUDENT-P05,B0043,4,4,3,4,4,4,4,4,4,,2026-03-19 06:19:18.561983+00
S042,STUDENT-P06,B0023,1,4,3,3,3,3,3,4,3,,2026-03-19 07:45:42.204448+00
S042,STUDENT-P06,B0021,2,4,4,3,4,3,4,4,4,,2026-03-19 07:47:09.734921+00
S042,STUDENT-P06,B0017,3,4,4,3,3,3,3,4,3,,2026-03-19 07:48:12.043746+00
S042,STUDENT-P06,B0030,4,4,4,4,4,4,4,4,4,,2026-03-19 07:49:39.399356+00
S043,STUDENT-P01,B0044,1,3,3,3,4,4,4,3,4,,2026-03-19 15:22:00.330185+00
S043,STUDENT-P01,B0016,2,4,4,4,4,4,3,3,4,,2026-03-19 15:23:05.883536+00
S043,STUDENT-P01,B0002,3,3,3,4,3,4,4,3,4,,2026-03-19 15:24:19.115337+00
S043,STUDENT-P01,B0046,4,2,3,3,3,4,4,3,4,,2026-03-19 15:25:32.364002+00
S044,STUDENT-P02,B0028,1,4,4,4,4,3,3,4,3,,2026-03-19 04:13:22.598115+00
S044,STUDENT-P02,B0008,2,4,4,5,3,3,3,5,4,,2026-03-19 04:14:26.199898+00
S044,STUDENT-P02,B0024,3,4,4,4,4,3,3,4,4,,2026-03-19 04:15:29.453325+00
S044,STUDENT-P02,B0013,4,3,3,3,3,4,3,3,4,,2026-03-19 04:16:32.827961+00
S045,STUDENT-P03,B0041,1,4,4,4,3,3,2,4,3,,2026-03-19 13:12:41.148884+00
S045,STUDENT-P03,B0036,2,4,4,4,4,3,3,4,3,,2026-03-19 13:13:33.944525+00
S045,STUDENT-P03,B0011,3,4,4,4,3,4,3,4,4,题目有帮助，但信息密度偏高。,2026-03-19 13:14:41.608215+00
S045,STUDENT-P03,B0025,4,4,3,3,4,4,3,4,4,题目有帮助，但信息密度偏高。,2026-03-19 13:15:49.912444+00
S045,STUDENT-P03,B0019,5,3,3,4,4,4,3,4,4,需要同时关注的内容有点多，做题负担偏大。,2026-03-19 13:16:57.895020+00
S046,STUDENT-P04,B0042,1,4,3,4,3,3,3,4,3,,2026-03-19 03:23:24.824665+00
S046,STUDENT-P04,B0022,2,3,3,3,3,4,4,4,4,,2026-03-19 03:24:46.246219+00
S046,STUDENT-P04,B0005,3,4,4,4,3,4,3,4,4,,2026-03-19 03:25:58.895742+00
S046,STUDENT-P04,B0033,4,4,3,3,3,3,3,4,4,,2026-03-19 03:27:11.233573+00
S046,STUDENT-P04,B0031,5,4,3,3,3,3,4,3,4,,2026-03-19 03:28:32.548915+00
S047,STUDENT-P05,B0014,1,3,3,3,4,4,3,4,4,信息有点多，最好再给一步步提示。,2026-03-19 15:27:03.192573+00
S047,STUDENT-P05,B0020,2,3,2,3,3,3,4,3,4,,2026-03-19 15:28:13.414186+00
S047,STUDENT-P05,B0038,3,4,4,3,3,3,3,4,4,,2026-03-19 15:29:16.235709+00
S047,STUDENT-P05,B0043,4,3,3,3,3,4,4,3,4,信息有点多，最好再给一步步提示。,2026-03-19 15:30:29.886888+00
S048,STUDENT-P06,B0023,1,4,4,4,3,3,3,3,3,,2026-03-19 11:40:32.301267+00
S048,STUDENT-P06,B0021,2,4,4,4,4,3,3,4,4,,2026-03-19 11:41:30.597129+00
S048,STUDENT-P06,B0017,3,3,3,2,3,3,3,3,3,,2026-03-19 11:42:17.596133+00
S048,STUDENT-P06,B0030,4,4,3,4,4,4,4,4,4,,2026-03-19 11:43:22.521946+00
S049,STUDENT-P01,B0044,1,3,2,2,3,3,3,3,3,,2026-03-19 14:40:14.729146+00
S049,STUDENT-P01,B0016,2,3,3,4,4,3,3,3,3,,2026-03-19 14:41:09.698474+00
S049,STUDENT-P01,B0002,3,3,3,3,3,4,4,3,4,,2026-03-19 14:42:26.817720+00
S049,STUDENT-P01,B0046,4,3,3,3,3,4,4,3,4,,2026-03-19 14:43:43.007904+00
S050,STUDENT-P02,B0028,1,4,4,4,3,3,3,4,3,,2026-03-19 03:01:46.425620+00
S050,STUDENT-P02,B0008,2,3,3,3,3,2,3,3,3,,2026-03-19 03:02:39.084277+00
S050,STUDENT-P02,B0024,3,4,4,4,3,3,3,3,4,,2026-03-19 03:03:44.921882+00
S050,STUDENT-P02,B0013,4,3,4,3,4,3,3,4,3,,2026-03-19 03:04:37.769255+00
S051,STUDENT-P03,B0041,1,5,4,4,5,2,2,4,3,,2026-03-19 07:40:14.241077+00
S051,STUDENT-P03,B0036,2,3,3,2,3,3,3,3,3,,2026-03-19 07:41:00.739565+00
S051,STUDENT-P03,B0011,3,3,4,4,4,3,3,3,4,,2026-03-19 07:41:58.051719+00
S051,STUDENT-P03,B0025,4,3,3,3,4,3,3,3,3,,2026-03-19 07:42:44.486965+00
S051,STUDENT-P03,B0019,5,4,4,4,3,4,4,4,4,,2026-03-19 07:43:48.911442+00
S052,STUDENT-P04,B0042,1,5,4,5,5,3,3,4,4,,2026-03-19 05:50:14.506938+00
S052,STUDENT-P04,B0022,2,3,4,4,3,3,3,3,4,相关性不错，不过难度波动有点明显。,2026-03-19 05:51:03.894178+00
S052,STUDENT-P04,B0005,3,3,3,3,4,3,3,3,4,,2026-03-19 05:51:50.860997+00
S052,STUDENT-P04,B0033,4,4,4,4,4,3,3,4,4,,2026-03-19 05:52:37.592304+00
S052,STUDENT-P04,B0031,5,4,4,4,3,3,3,4,3,,2026-03-19 05:53:15.025856+00
S053,STUDENT-P05,B0014,1,4,3,4,4,4,3,4,4,,2026-03-19 03:20:22.837249+00
S053,STUDENT-P05,B0020,2,3,3,3,3,3,3,3,3,,2026-03-19 03:21:21.714989+00
S053,STUDENT-P05,B0038,3,4,3,3,3,4,4,3,4,,2026-03-19 03:22:43.063675+00
S053,STUDENT-P05,B0043,4,4,3,3,3,3,3,3,3,,2026-03-19 03:23:41.830484+00
S054,STUDENT-P06,B0023,1,3,3,3,3,3,3,3,4,信息有点多，最好再给一步步提示。,2026-03-19 13:22:32.676223+00
S054,STUDENT-P06,B0021,2,4,4,4,2,4,4,4,4,,2026-03-19 13:23:51.746880+00
S054,STUDENT-P06,B0017,3,3,4,3,4,4,3,4,3,相关信息比较多，阅读时需要来回找重点。,2026-03-19 13:24:52.525955+00
S054,STUDENT-P06,B0030,4,4,3,3,4,3,3,3,3,,2026-03-19 13:25:49.380854+00
S055,STUDENT-P01,B0044,1,4,4,4,4,4,4,5,4,信息有点多，最好再给一步步提示。,2026-03-19 06:18:50.015784+00
S055,STUDENT-P01,B0016,2,3,3,3,3,4,4,2,4,,2026-03-19 06:20:12.687018+00
S055,STUDENT-P01,B0002,3,4,3,3,3,4,4,3,4,,2026-03-19 06:21:35.322585+00
S055,STUDENT-P01,B0046,4,3,3,2,3,4,4,3,4,我有点不知道从哪里开始，如果有更明确的起点会更好。,2026-03-19 06:23:01.500206+00
S056,STUDENT-P02,B0028,1,4,3,4,4,3,3,4,3,,2026-03-19 03:55:09.978708+00
S056,STUDENT-P02,B0008,2,4,4,4,4,4,4,4,4,,2026-03-19 03:56:20.733263+00
S056,STUDENT-P02,B0024,3,3,3,3,3,3,4,3,4,希望把关键要求再拆得更清楚一些。,2026-03-19 03:57:34.200401+00
S056,STUDENT-P02,B0013,4,3,4,4,4,3,3,5,4,,2026-03-19 03:58:37.665904+00
S057,STUDENT-P03,B0041,1,3,3,3,4,3,3,3,4,,2026-03-19 13:36:59.368042+00
S057,STUDENT-P03,B0036,2,4,3,3,3,3,4,4,4,,2026-03-19 13:38:06.393826+00
S057,STUDENT-P03,B0011,3,3,3,3,3,3,4,4,4,,2026-03-19 13:39:12.806760+00
S057,STUDENT-P03,B0025,4,3,3,3,3,3,3,3,4,,2026-03-19 13:40:12.268534+00
S057,STUDENT-P03,B0019,5,4,4,3,3,4,4,3,4,,2026-03-19 13:41:18.946149+00
